白葱 1/2~1本
牛乳 １２０ｍｌ
ニンジン 1本(大きめ)
きび砂糖 90ｇ
舞茸 約５０グラム
じゃこ お好み
白味噌 25g
☆塩 小さじ1/2
唐辛子（ホール） 2本
にんじん 4分の1
豚ﾊﾞﾗ肉(鶏でも◎) 4枚くらい
ローマンレタス(レタス) 適量
ツナ缶 好みで（私は缶の半分を使用）
さつま揚げ ２枚
春菊 大きく一掴み
きゅうり １/２本
タマネギ ２分の１個
酢水 適量
ゆで卵 ２個
しめじ 1/2袋
白菜 葉３〜４枚
ごぼう １本
ネギ ２本
大根 ５～８センチ
青梗菜 １／２株
鮭フレーク 少々
ショルダーベーコン 2枚
豚薄切り肉 １０枚
稲荷用油揚げ（味つき） 2枚
クリームチーズ 60g
砂糖 大2
酒（日本酒、ワインなど） 50ＣＣ
コーンフレーク 40～50g
たらこ 適量
キャベツ ５枚くらい
人参（皮をむいたもの） ２０～２５ｇ
ヨーグルト 100ｇ
塩 適量　　　　　　　大さじ1弱
ニッスイおさかなソーセージ 1本
にんじん １/２コ
砂糖 １２０ｇ
豆乳 ブリックパック1個
キャベツ 60g
クリームチーズ 250ｇ
にんじん １/２本
醤油 大匙5～6
カニカマ １本
エリンギ １パック
強力粉 １カップ半
砂糖 160ｇ
水菜 2株分くらい
紅茶　ティーパック １個
ネギ １／２本
卵 １個
牛乳 ５０ｍｌ
② ホワイトソース お玉半分
トマト缶（カットタイプ） 1/2缶
上白糖 大さじ２
白ワイン 500cc
ご飯 250g
はんぺん １枚
片栗粉 ３５ｇ（１１５kcal）
熱湯 １４０ｃｃ
切干人参 １／２本分
オートミール ５０ｇ
たまねぎ 1/2個
●BP 小さじ1.5
甘栗 １５個くらい～お好みで
塩 3g (小さじ１/２)
玉ねぎ １／４個
白滝 １６０ｇ
オートミール ５０ｇ
じゃがいも 中4個くらい
ニンジン 25gくらい
スモークサーモン １パック
◎ゆで卵（フォークでつぶす） １個(80kcal)
砂糖 80g
●水 コップ１杯位
・お酒 ５０cc
ブルガリアヨーグルト １箱　450g
たまねぎ 1個
ロイズチョコレート １袋
赤ピーマン １/４個
人参 120g
きび砂糖（又は上白砂糖） 小さじ２
☆水 １００ｃｃ
2.牛乳 100ml位
・豚ロース薄切り 200ｇ
塩 1ｋｇ
卵 ３個
大根 中1/5くらい（240g）
○鶏挽き肉 ４００ｇ
鶏卵(卵黄) ２コ分
長ネギ 1本
中華クラゲ（市販の味付） ２００g
たまご ４個
☆しょうゆ 50cc
コチュジャン 小さじ１
✿タルタルソース✿卵1個・玉ねぎ1/2・マヨネーズ大さじ５・ミツカン｢熟味酢｣小さじ1/2・レモン汁小さじ1/4 （酸味がたりない時はお酢・レモン汁の増量で加減）
塩コショウ 少々
玉ねぎ 1個
生姜スライス ４～５枚
マヨネーズ 大2さじ
納豆（タレつき） １パック
味噌 適量
かいわれ大根（飾り用） 適量
ゆで卵の黄身 1個
ケーキ用マーガリン ７０g
レタス 1/5個
お豆腐 一丁
辛子明太子 1腹(小さいものは2腹）
黒オリーブの実 1缶
春キャベツ ４～5枚
玉ねぎ 小１個or大1/2個
バター ６０ｇ
鶏肉 50g
梅チューブ（ねり梅） 適量
ねぎ 1/2本
三つ葉 1束
豚肉（小間切れ、肩ロースなんでも） 150㌘
普通の大きさのトマト缶(できればダイスカット) 3分の1缶
コンソメブイヨン ２個
卵 一個
塩 小さじ1/2
板チョコ 100ｇ
ベーコン ２枚程度
ニンニク 1かけ
蓮根 お好み
砂糖 120g
大葉 3枚
小麦粉・水・パン粉 適量
ウインナー(あらびき) 1袋
砂糖 小さじ1
水 １４５ｍｌ
玉ねぎ 1/2個
たまご １個
ニラ １束
＊昆布茶 大１
厚揚げ １個
醤油 少々
砂糖 １５ｇ
塩・胡椒 少々
フラワー おかか＆枝豆
ﾀﾏｺﾞ＆そぼろ そぼろ（挽肉一口大・砂糖小さじ１･酒小さじ１/2・しょうゆ小さじ２）
純ココアパウダー 10ｇ
長葱 1/2本
あさり 180g
☆水 １２００ｃｃ
ベーコン ２枚
里芋（小粒） 8個
ごま油 適量
キャベツ １/２個
たまねぎ ２個
ごま油 小２
豚肉（バラ薄切・細切れなど・・・） １５０~２００ｇ
ぽん酢 大さじ2
とろろ昆布 ひとつかみ
インスタントコーヒー 1/2カップ
合びき肉 ３００ｇ
たまねぎ 1/2玉
和風キムチ 1パック（５５０ｇ）
じゃがいも 中４個
だいこん ２/３本
粉ゼラチン ５ｇ
無塩バター 100g
玉子 １個
桃屋のラー油 好きなだけ
☆有塩バター(トースト用でOK) 50g
ちくわ 一袋
チェダーチーズ 適宜
キャベツ 1/4個
ブラックアイドピーズ 1袋（453g）
塩 ２つまみ
塩コショウ 少々
じゃこ 大さじ2
飲料用ココア(粉) 大さじ３
ニンジン 半分
梅干 大2個
グラニュー糖 約200g
スイートコーン(小) １缶
ホワイトチョコレート ３０g
レーズン お好みで
片栗粉 大さじ２
玉ねぎ １個
カレー粉 適宜
ハム 2枚
☆レモンマーマレード 大さじ１
厚削りの鰹節 ５枚
マヨネーズ お好み
【水】 50～60g
水 １５０ｃｃ程度
砂糖 50グラム
麻婆豆腐 適量
アサリ（冷凍などの殻なし） １００～１２０ｇ
りんご 1個
おから 60g
サラダ油 大さじ1/2
むきエビ 6尾
昆布 適当　　　　　
ソーセージ 3本
さつまいも 適量
*豚ひき肉 150ｸﾞﾗﾑくらい
長ネギ １本
しょうゆ 大１
鶏レバー 100g
豚ひき肉 １００グラム位
ゼラチン ４０ｇ
ごはん(やや固めの炊きたてを♥) 茶碗一杯強
豚の挽肉 ２００ｇ
にんじん １／４〜１／２
アーモンドプードル ３０ｇ
玉ねぎ 1個
にんにく １～２片
かぶの葉 適宜
パン粉 20～25g
●ごま油・しょうゆ・白ゴマ 各大さじ１
●麺つゆ 適量
人参 １本
玉ねぎ 1/2個
たまご ３個
玉葱 1/2個
水煮大豆 1袋（180g）
ねぎ ２〜３センチ程度にお好みで
※砂糖 ３５g
卵 1個
ひじきの煮物 100ｇ
卵 １個
豚バラ肉 100g
ブロッコリー 1/2株
卵 ２個
ベーコン 2枚
玉ねぎ １／２個
唐辛子（赤い方が見た目◎） １０本
豆腐 ２５ｇ
生椎茸 １枚
納豆 １パック
まいたけ、シメジなどキノコ類 １００ｇ
キャベツ ３〜4枚
はちみつ 大さじ1
青じその葉 4枚
にんじん 1本
きゅうり １本
豆腐 半丁
大根 10cm
○ヤマサ昆布つゆ白だし ３0ml
木綿豆腐 １５０ｇ
ピーマン 3個
チョコレート 100g
水 ５０cc
鶏ミンチ 150Ｇ
豚こま切れ ２００ｇ
しめじ 1/2株
カリフラワー 小１個
生クリーム 100ml
オクラ １０本
ニンジン １/２本
ケチャップ 大さじ１
豚ばら肉 ５～６枚
かぼちゃ ３００グラム
ハーブソルト 適宜
にんじん 1.5㎝くらい
小松菜 １パック
小麦粉 30〜40㌘
マッシュルーム 5-6個
残りのカレー 残っただけ
クリームチーズ ３０ｇ
かぼちゃ 1/8個
タコ ２００ｇ
油揚げ 1枚
ほんだし（顆粒だし） 小さじ1/2
ヒアロジュレ 大匙３
ひじき ひとつかみ
☆砂糖 50g
ココア ５０ｇ
いちご １パック
タマネギ 半分
きゃべつ ５枚
水 適量
ﾏﾖﾈｰｽﾞ 適量
しめじ １／２パック
鶏ささみ肉(胸肉でも) 3枚(胸肉なら１枚)
きゅうり １本
●たかのつめ 1本
にんにく（チューブでもＯＫ） 好きなだけ
クリームチーズ 好きなだけ
なす ２ケ
ねぎ 1/2本
●鰹節 一握りくらい
しめじ 1/2パック
白菜 ５～８枚（多めでＯＫ）
鶏ももひき肉 ２５０グラム
ごまドレッシング 大さじ２
片栗粉 適量
オリーブオイル ２０g
ドライイースト 3g
塩 適量
砂糖 10ｇ
無糖ヨーグルト 120g
肉団子（何でも可） 10個くらい
小結白滝 ５つ
水菜大株 １株
焼き海苔 １枚
油揚げ ２枚
ニンジン 1本
ねぎ 1本
◎白玉粉 20g
しめじ 1パック
人参 ５ｃｍの半分
レタス 1個
バター 10g
豚コマ 適量
めんつゆ 大さじ２
コーン 1缶
バター 大1
玉ねぎ（みじん切り） 1個分
ウインナー ４本
ニンジン 小1本
★ 砂糖 小さじ１
オールブラン(全粒粉) 10g
お茶漬けの素 一袋
杏仁霜（きょうにんそう） 100g
とろけるチーズ 適量
ケチャップ 適量
花すしの素 小さじ１～１．５
にんじん 1本
●料理酒 大さじ１
たまねぎ １ヶ
えのき 1/2パック
お豆腐 ４分の１個
白菜 葉っぱ３枚
大根 ２００ｇ
卵黄 ２個分
マヨネーズ すきなだけ
だし 1カップ
大根 6個
ベーコン １枚
塩 小さじ半分
マヨネーズ 大１
◆醤油 大匙２
バター 10g
卵 一個
もやし １袋
たまねぎ 1個
もち（角もち） ４個くらい
しめじ 1袋
ツナ缶 １個
魚肉ｿｰｾｰｼﾞ 薄切り２枚
大根 １/２本
卵 一個
タバスコ お好きなだけ
砂糖 ６０g
ハム 2枚
ニンジン 1/3本
☆バルサミコ酢 大さじ１
ベーキングパウダー 小さじ１
人参 100g
おかか 適量
グラハム粉 ３０ｇ
白ネギ １本
ミックスベジタブル 大さじ2
かんぴょう 25ｇ
大根おろし 大さじ４くらい
豚バラ肉 ２〜３００グラム
濃口醤油 ３０ｃｃ
ダシ汁 鍋にひたひたかぶる位
薄切り肉 150g
豚バラ薄切り肉 ２５０〜３５０グラム
にんじん 1本
なす 1本
●だし汁 大さじ4
◇卵 1個
ごはんの具 適量
氷砂糖　　 ２５０ｇ
しょうが（（細く）千切り） 大１かけ
黒ゴマ 適量
油揚げ ４つ
粉寒天 1袋(4g)
豚もも肉(ひれ肉でも） 300～400ｇの塊肉
豚挽肉 300g
桜海老 大匙2
野菜 画像2参照(バッドはＡ4ぐらいのサイズ)
卵黄 ３個
片栗粉 適量（豆がまぶる程度）
しめじ １房
砂糖 大さじ２
絹豆腐 １００ｇ
ハム 5枚くらい
しらす 30ｇ
にんじん 太い部分6cm位
◎白玉粉 ５０～１００グラム
揚げ油 適量
つきこんにゃく 1パック（200ｇ）
大根 1/2本
イカ １杯
ⓐ砂糖 80g
☆酒、しょうゆ 各大１
きび砂糖    大さじ3
バター ３０グラム
タマネギ 1/2個
Ａ　ｷｬﾍﾞﾂ ３枚
なめこ 半袋
塩 8g(かぶの2%)
卵 1個
ホワイトチョコ ４０ｇくらい
ツナ缶 1個
玉ネギ 大３個
卵 1個
●高野豆腐 １枚
玉ねぎ 小1個
ホワイトソース １カップ
しょうゆ 大さじ3
水 50cc
塩コンブ 三本指でつかんで2回
ごぼう 1/2本
明太子 １腹
ウィンナー ４本
水菜 ４束
白ワインビネガー 大さじ１と1/2
本だし 小さじ１
じゃがいも 小2個
酒 大さじ２
粉糖 30g
バジリコ（フレッシュ） ２枝
●梅干し 4個
野沢菜 小さじ１
水 115g
玉ねぎ 少々
マロニー 150ｇ（乾物の状態で）
●てんさい糖 大さじ１
ロースハム 5枚
キムチ １００グラム
あら 1匹分
春雨 ３０グラム
玉葱 １個
牛乳 １５０ｃｃ
菜の花 3本
玉ねぎ（小） 1玉
豚バラ肉 200g
アーモンドスライス ６０g
豆乳（牛乳でも可） 300ml
にんじん 好きなだけ
ベーコン ２枚ぐらい
卵白 1個分
砂糖 80グラム
ゆで卵 2個
バター or マーガリン 90ｇ
水 大３
豚肉薄切り（コマギレ、もも、バラ、ロース、肉は、お好みで） 100ｇ
ベーコン ２枚～
グラニュー糖 ４０g
☆薄力粉 適量
豆乳 400ｃｃ
卵 ４個
生クリーム １パック(約２００ml）
●チーズ ３枚
ゴマ油 少々
☆粉チーズ 大２
りんご 3分の１
にんにく 小さじ1
クリームチーズ 適量
きんぴらごぼう（レシピID:1013868） 適量
なめこ １袋
えのき茸 1/2袋
うど 1/2程
ピーマン 3個
塩 小さじ１
●牛肉ダシダ粉末 大さじ1
粉砂糖 大さじ６
チョコレートクリーム 50g
ホウレン草 半束
きゅうり １本
人参 ４ｃｍ
☆薄力粉 ６０ｇ
ほうれん草 １束
ゴマ油 適量
☆練り胡麻 大匙１
砂糖 ２０ｇ
じゃがいも 1個
昆布 3cm
マーマイト 適量
酒 大２
水 800～900cc
じゃがいも １〜２こ
小麦粉 適量
にんじん 1/2本
スライスチーズ 1/2枚
人参 ５cmくらい
里イモ 5コ（皮をむいて200ｇありました）
スキムミルク 大さじ１
苺 1パック
舞茸 １パック
サラダ油 大匙1
にんじん（駄菓子） 1袋
ｼﾞｬｶﾞｲﾓ（冷凍ﾎﾟﾃﾄでもok） 大１個
ねぎの青い部分 1本分
きゅうり: 1本
抹茶（出来たら製菓用のキメの細かい物） ３ｇ（普通）～５ｇ（かなり濃い目）
バター（マーガリン） 少量
玉葱 1個
マヨネーズ 大さじ３
クレソル・パン粉 適量
　・みりん 120cc
卵 1/2個
★ベーキングパウダー 小さじ１
あずき（ささげ） 60g
絹ごし豆腐 ４分の１丁
☆マヨネーズ 大さじ1〜1と1/2
春菊 お好きなだけ
もやし 小１袋程度
無塩バター ７０ｇ
きゅうり 1本
きゅうり 約3〜5cm
卵 1個
フライドオニオン 瓶に1/3程度
しょうゆ 大さじ2
エクストラバージンオリーブオイル 少々
好きなふりかけ 適量
ツナ缶 半缶
人参 1本
ゴマ油: 大さじ2
オリーブオイル（炒め用） 小さじ1
豚バラ肉 200〜300g
バター １/２本（５０グラム）
天ぷら粉 25ｇ
２５℃～３０℃のぬるま湯 100ｇ
豚ミンチ ３００g
塩 少々
納豆 1パック
砂糖 30ｇ
木綿豆腐 １５０ｇ
水 180ｃｃ
にんにく（みじん切り） 1片
塩 小さじ1強
長ネギ １．５～２本
豚ロース薄切り 4枚くらい
鰹のたたき １本
木綿豆腐 １５０ｇ
セロリ ソーセージと同量（写真参照）
きな粉 大さじ2
砂糖 25g
水 600ml
カニカマ、（上にのせるのを４本） ８本位
グラニュー糖 大さじ１
ドライイースト 3g
塩 適量
水 4〜5カップ
きのこ たくさん
塩 20g弱
にんじんの皮 厚めにむいた物１０センチ分くらい
★薄口醤油 小匙1程
醤油 適量
卵 2個
にんじん 半分　30ｇ
▼酒 適量
リメークしたこんにゃく ６～９枚
小麦粉 50g
★おろしにんにく 小さじ１
しょうゆ 大1
タピオカ粉 50g
　　酒と醤油 各大さじ１
豚ひき肉（鶏ひき肉でもＯＫ） 出汁程度に少々（お好みで）
＊生姜（千切り） 40g
ブリザードレモンの岩塩 少々
豆腐 ５０ｇ
バター 5g
砂糖 大匙1
さとう 大２
湯むきトマト(角切) １個
生おから 50ｇ
生ハム ２枚
酢 大6
強力粉 １００ｇ
ホウレン草やブロッコリーなどお好みの野菜 適量
塩 適当
コーンフレーク アイスと同量
じゃがいも ２個
いかの燻製 セロリの量の１/３
マスカルポーネ（なければヨーグルト） 大さじ２
生おから 50ｇ
お好きなジャム 大匙１－２
薄力粉 ４０ｇ
シメジ １パック
大根 大１/４本
ぶなしめじ 半分
卵 二つ
人参 ５ｃｍ
ベーコン ５枚
さとう 大１
白菜キムチ 適量をお好みで
だし醤油（我家は山形の“大名醤油”使用） ビニールに入れたタマゴが半分浸かるくらい
納豆 1/2パック
砂糖 小さじ３
ラップ 少々
水 300cc
塩こんぶ ２０グラム
玉ねぎ 1個
キムチ 適量
納豆 １パック
砂糖（卵白用） ５０ｇ
山芋 すりおろして４０～５０ｇ
にんにく ２かけ 
●ツナ缶(小・８０ｇ) １缶
ﾄﾏﾄﾎｰﾙ缶 1缶
鶏もも肉 ８０ｇ
卵 あんの量に合わせた量で・・・
ベーキングパウダー 小さじ１強
桃屋のラー油 好きな量
とろけるチーズ ひとつかみ
クリームチーズ ５０ｇ
●しょうゆ 大さじ３
★だし汁 1cup
市販のシュウマイ 今回は4個使用
焼豚 １〜２枚
なす（幅の太いものがベター） 2cmにスライスしたもの1枚（細いものなら3枚）
☆　オリーブオイル 大さじ１
アンチョビ(粗みじん切り) 1枚
お酢 大匙3
塩 小さじ1/2
塩(海塩） 軽く小さじ2
薄力粉 ３０ｇ
豚バラ薄切り肉 100g
ミリン 小さじ１～
たまご １こ
ミートソース(既製品) 1缶
牛ひき肉 小１パック（120gぐらい）
きゅうり(千切りしておきます) ２本
キャベツ ２～３枚
餃子の皮 ２６枚
水 ５０ＣＣ
塩こしょう 少々
プチﾄﾏﾄ 3個
片栗粉 ４０ｇ
酒 大匙１
ピザソース 大さじ３くらい
ヤリイカ 1杯
天ぷら粉 １カップ
塩、こしょう 少々
コンソメスープの素(固形) 3個
かにかま ４本くらい
絹ごし豆腐の厚揚げ 2枚
にんにく １かけ
アボカド 1個（８等分にカット）
醤油・酒 各100ｃｃ～150ｃｃ
塩 塩一掴み（軽く大サジ１杯弱）
醤油 大さじ2
きゅうり 　１/３本（適宜）
ケッパー 10粒
ブラックココア 大さじ１
牛乳 好きなだけ
豚バラ薄切り肉 200g
牛乳 １００ｍｌ
絹ごし豆腐 １５０ｇ
こんにゃく １枚
砂糖 90　 g
カツオ節(削り節） 5g以上
玉ねぎ 1/2個
しらす（ちりめんじゃこでもOK) 50ｇくらい
◎酒 大さじ１
パルメザン･チーズ 大さじ2
薄力粉 ５０ｇ
鶏ササミ 2枚
ベーキングパウダー 3ｇ
バター 100ｇ
あらびきソーセージ 1袋
ベーキングパウダー 小さじ1
たまねぎ 1個
にんじん １／２本
オレンジマーマレード 70g
もち １切れ
ねぎ 適量
薄切りの豚肉（バラでもモモでも切り落としでも可） 200ｇくらい
にんじん 4/1本
塩、こしょう 各少々
醤油 大さじ１
トマトケチャップ 大きいスプーン５
水（黒豆を戻す用・スープにそのまま使います） 600～700cc（豆が顔を出さない様、たっぷりと）
鷹の爪 1本
スジャータ豆乳クリーム １パック
じゃがいも 2個
サンチュ味噌 適量
ツナ缶 ８０g×２缶
きゃべつor白菜 適量
★ベーキングパウダー 10g
豆腐（絹） 1/2丁
マッシュルーム １パック
絹こし豆腐 150g
砂糖 １６０グラム
★フェタチーズ 100ｇ
砂糖 10ｇ
水 １４０ｍｌ
ニンニク 1かけ
薄力粉 適量
コーンフレーク（無糖） ２つまみ
バター ６０ｇ
砂糖 ４０グラム
aコーンスターチ 15グラム
大根(特大) １本半
砂糖 ５０ｇ
もやし 1袋
◎片栗粉 50g
ウインナー 3本
水 3カップ
長いも 好きなだけ
ひじき 戻して４５ｇ
にんにく １片
とりミンチ ５０ｇ
水 適量
栗甘露煮（つゆも使用するので捨てないで） １瓶（今回は固形量１００ｇ）
パン粉 大さじ2
ほうれん草 大さじ1
合い挽き肉 ２５０ｇ
☆醤油 大さじ４
シーチキン缶（80ｇ） 1缶
イカ １杯
水 大さじ２
冷凍豆腐（レシピ：997804） 1丁
残り物のカレー（又はなべ底のカレー） お玉山盛り1杯
キャベツ 2〜3枚を一口大に切る
にんにく ２
生キャラメル 好きなだけ！
チキンドラム 8本～12本
･・お酒 100cc位
もち 1こ
昆布 １０～１５センチ
玉葱 半分
生クリーム ２００cc
ミックスベジタブル 適量
ゆかり 大さじ1弱
キャベツ 1/4個
かつおぶし 適量
塩 適量
aコーンスターチ 20グラム
おから １００g
☆しょう油 大さじ３
笹がき牛蒡 20～30ｇ
☆砂糖 １３０～１５０ｇ
とろろ昆布 ざくっとひとつかみ
バター 大さじ１～１．５
木綿豆腐 200g
にんじん １／３本
リンゴ １/２個
バター 小1
牡蠣 1ﾊﾟｯｸ
じゃがいも ３～４個
砂糖 40g
油 適量
とろけるﾁｰｽﾞ お好みで
玉ねぎ １個
塩 小２～３
人参 １/２～１本
かきむき身 ４～６個（中粒）
きゅうり 半分～１本
●すりごま １５ｇ
小麦粉 適量
ゆで大豆 1カップ
人参 １本
絹ごし豆腐 ５０ｇ
･ジャガイモ 2個
大根 5ｃｍ位
3個パックの豆腐 1パック(150g)
長ネギ 2本
玉ねぎ 中1個
もろみ味噌(普通の味噌じゃなくてもろみがお勧め☆) 大さじ２
イチゴ お好みで♪
きゅうり １/２本
抹茶 適宜
★牛乳 ご飯が浸る位
グリーンアスパラガス ５本
キャベツ １枚
パセリ（刻んだもの） 大さじ２杯
鮭中骨水煮缶 1缶
サラダ油 50cc 
サラダ油 小さじ１
キムチ お好みの量
たまねぎ （小）３こ
ブロッコリー 2株
のり 2枚
西京味噌(好みのお味噌でOK) １００ｇ
えび 6尾
砂糖 ８ｇ
青海苔又は、あおさ 大さじ２
みたらし団子 ２個
キムチ 200g
ご飯 茶碗1杯～１杯半
焼き麩 8～10ｇ
木綿豆腐 一丁
塩 大さじ１
塩 10ｇ
●凍り豆腐 １５０ｇ
ゆで卵 1個
●牛乳 大さじ２
★お酢 大さじ2
片栗粉 適量
生クリーム（植物性でもOK） 50ｃｃ
＊醤油 大１
赤ワイン ２００ｃｃ
乾燥寒天 １本
卵 2個
お好きなフルーツ お好みで
かえりちりめん 大さじ４
すし酢 適宜
シュガー 大さじ１(お好みで)
砂糖 大さじ５～７
片栗粉 大２〜３
小麦粉 150g
キュウリ 一本
鰹だし 小さじ1
☆水 ５００ｃｃ
★薄口醤油        50cc
アボカド 1個
大葉 ３ｇ（５枚程度）
鶏ミンチ ３５ｇ
レモン汁（ポッカレモン１００） 大さじ３
塩 ３～４つまみ
から揚げ粉 中さじ２
ベーコン 100ｇ
バジル 少々
塩 少々
えのき 1/2束
明太子 好きなだけ
白ネギ １本
人参 1/2本
☆シーチキン １缶の半分
冷凍エビ 3〜4匹（お好みで）
しめじ １/２パック
ブルーチーズ 50g
スナップエンドウ（お好きな野菜で） １袋
玉ねぎ 中玉1/2個
ポテトサラダ お好みの量
じゃがいも 中２個
水 ８杯
卵黄 1個
お揚げ 1/2枚
鰹節 一掴み
ピーマン 3個
水 800cc
あら塩 二つまみ
セロリ 2本
ブロッコリー １/３株
ジャガ芋 中一個
お好み焼き粉 お玉に大盛り２杯分くらい
バナナ １/３本
ベーコン 4枚
長ネギ １/３本
チキン（部位は問わない） 200ｇ
昆布茶 小1弱
長ネギ 太め１本
鶏モモ　または　お好み部分で ごま油　少々
玉ねぎ ２個
強力粉 300グラム
レモンの皮 一個分
ナス ２こ
もやし １袋
大根 ２センチほどの輪切りを５ケ
玉ねぎ 小さいもの半個
鶏ひき肉 １５０ｇ
冷凍のミックスベジタブル 150ｇ
グラニュー糖 50g
パルスイート０カロリー ２０ｇ（通常砂糖の１/3）
水 2カップ
キムチ 適量
ホイップした生クリームorガナッシュ 生クリームなら1パック目安
玉ねぎ ２個
えのきだけ 半株
沸騰したお湯 ２００ｃｃ
卵 ２個
砂糖 85ｇ
水 150ml
しめじ １／２パック
卵 １個
コーン缶 １／２缶
レタス 3枚
玉ねぎ １／２玉
ベーコン（ハーフサイズ） 3枚
ベーコン 適量
オリーブオイル 大さじ１
紅茶　今回はアールグレイ使用 ２００ｃｃ
水（牛乳でも可、様子を見ながら） 大2〜
アスパラ 2本
塩 適宜
牛乳 少々
薄力粉 50ｇ
キャベツ 200g
　れんこん １００g
ゴマ油 大さじ1
麦芽クラッカー １袋（７枚）
れんこん 大１節（270ｇ）
キャベツ １/６
大根 １０cm
合挽き肉 100g
冷凍バナナ １本
ウインナー ４本
はんぺん ２枚
醤油 ひとまわし程度
●おから 見た目豆腐と同量
ヨーグルト 大さじ山盛り２
いなり ３枚
もやし 1袋
マヨネーズ 大さじ1
魚肉ソーセージ １本
ホットケーキミックス ５０g(100cc)
人参 半分
まいたけ １／２パック
人参 1/2本
ごま油 小さじ１
お水 １５０ｃｃ
玉ねぎ １/３
ゴマ油 大さじ1/2
♡サバの缶詰め（味噌味） １缶
ベーコン 2枚
たまご １個
油揚げ(食べやすい細切り) 1枚
牛ロース薄切り １枚
醤油 大１
合挽　ひきにく 130g
クリームチーズ 50g
強力全粒粉 50ｇ
玉ねぎ 1.5個
パン粉 150ｇ
マヨネーズ その日の気分で
豚肉（ばら） 200ｇ
和牛脂 60g
バニラ練乳ID1014829） 大さじ５位
玉子 2個
薄力粉（ソフィーチェ） 100g
鶏ミンチ 150g
サラダ用マカロニ 一握り
ツナ缶 １缶(80ｇ)
レタス おまかせ
ニンジン ２本
南瓜 1/6カット
果汁 ３個分
ベーコン ２枚
大根 1/2本
生ひじき（乾燥もok。) 70g
玉ねぎ 大１/２コ
ネギ（必須） ２本
卵 １個
じゃがいも ２個
えび 10尾
ｷｭｳﾘ 2本
はちみつ ５００ｍｌくらい
あんこ（あずき） 120g
ゆで卵(小さく切る) 1個
豚ばら肉 適宜
熟した生トマトかホールトマト 水とあわせて340グラム
酢 大さじ１
無塩バター ６０ｇ
高野豆腐 １枚
紫キャベツ 小１個
ベーコン ４０ｇ
乾燥ひじき １５ｇ
●冷蔵庫に残ってる適当な野菜(今回は キャベツとピーマン、ニンジン) 適量
牛肉(薄切り) 8枚
＊塩 適量
片栗粉 大さじ1
○砂糖 ４０ｇ
キウイ ２個
ちりめんじゃこ 適量（今回は、１２ｇ）
ちりめんじゃこ 適量（今回は１７ｇ）
卵 1コ
ヨーグルト 170g
明太子 １腹
○粉ゼラチン ５グラム
玉子 １個
タマネギ 1本
ハム １枚
◎アーモンドパウダー ２カップ
牛乳 200㍉㍑
牛乳 適量
塩辛 １パック
小麦粉 適量
ポン酢（なければ醤油とライム等） 適量
トンブリ　(森のキャビア) 半袋
揚げ油 フライパンに１cm
砂糖 ６０ｇ
にんじん １／３本
薄力粉 １５０グラム
にんにく ひとかけ
＊アーモンドプードル 80ｇ
★牛乳 お肉が全部浸るくらい
ヨーグルト 適量
白味噌 小さじ１
ツナ缶(油入り) 1缶
えび 4尾
レモン ２分の１個
シチューの素 １カケ
ベーコン ２枚
無塩バター ８０ｇ
ねぎ １本
片栗粉・塩、薄口しょうゆ 各小2/1
ﾍﾞｰｺﾝ 半分に切って牡蠣の数だけ
玉ねぎ ４分の１こ
砂糖 ４０ｇ
ハム ５枚
ぬるま湯 １/3カップ
にんじん 1/2本
カニカマ ２～３本
鶏ムネ肉 １枚（２００ｇ）
生クリーム（コーヒーフレッシュ可 小1～好きなだけ♪
ジャガイモ １個
豚肉 約300gぐらい
塩昆布 ２つまみ
ベーコン ５枚（適当）
干ししいたけ 3～4枚
ベーコン ５～６枚
a.ベーキングパウダー 7g
砂糖 60g
アボカド １個
塩（茹でる用） 小さじ1
ウインナー ４本
無塩発酵バター(無塩バターでもOK)...★ 90グラム...90%
プチトマト 3～4個
醤油 100cc
シーチキン １缶
豚挽き肉 ４００ｇ
☆ひき肉 200㌘
ごぼう 2/3本
大根 4cm位
ニンジン 1cm
強力粉 350g
納豆 １～２パック
グラニュー糖 １００ｇ
豚バラ薄切り ２５０ｇ程度
豚挽き肉 250ｇ
トマトの缶詰（カットトマト） 1缶
黒豆 ２００ｇ
バター ５０ｇ
茄子 小なら4本
長ネギ 80ｇ
ひき肉 100ｇ
豚肉の薄切り １２０ｇ
じゃがいも 3個
ココアパウダー ５ｇ
●薄力粉 120ｇ
ジャガイモ 中５個
水 ２５０ｃｃ
サラダ油 大さじ3
にんにく １かけ
白菜 50～100g
塩コショウ 適量
キムチ １００グラム
うどん １人分
水 大さじ1
しめじ １／２パック
トマト 2個
牛乳 小さじ1
★カレー 好きなだけ
大根 １／３～半分（お好みで）
モヤシ（もしくはお好きな野菜） 好きなだけ
コーン缶 好きなだけ
牛乳 190g （265g）
タマネギ 好きなだけ。今回は中２つ。
豚バラ肉 ２００g
熱湯 150ml
豚バラスライス 100g〜
からし明太子 二切れ
きなこ ３０ｇ
ベーコン ４００ｇ
トーフミール ２０ｇ
鰹節 1/2袋
☆水 1/2カップ
ジェノバペースト（バジル） 小さじ２～
エリンギ ２本
ゆでうどん（市販のもの） 1/4
お好みの具（肉や野菜） お好みの量
オリーブオイル 50ml
シュウマイ １０個
にんじん 5センチ分くらい
オリーブオイル ５０ｃｃ
新タマネギ １個
桜海老 一掴み（お好みで）
木綿豆腐 １丁
