■水 500ml
牛乳 60ｃｃ
(あれば)梅酒の実 4個
ゆずこしょう （お好みで）
コーン お好みで
酢 大さじ1
酒 大匙２
卵 １個
鰹節 １パック～
お好みでかぶ、大根などの根菜 適量
酒 大さじ2
　　小麦粉 ４０ｇ
薄力粉 大さじ2
【オリーブ油・バター】 各大さじ　１
水 １５０ｃｃ
砂糖 大２，５
グラニュー糖 小さじ1～2またはスティック1本
ローストオニオン 少々
片栗粉 少々
バター 適量
豆板醤 大匙１．５
マヨネーズ 小さじ2
【Aトマトケチャップ・トマトペースト】 各・大さじ　１
■ベーキングパウダー 小さじ１
ドライイースト 3g
白ワイン（あれば） 80cc
パン粉 適量
青のり すきなだけ
たかのつめ 好きなだけ
●砂糖 大さじ1
ﾊﾁﾐﾂ　 お好みで
にんにく １かけ
牛乳 適量
長ネギ １／２本
ドライイースト 小１
インスタントコーヒー 4g
バター ２０ｇ
ｺﾝﾃﾞﾝｽﾐﾙｸ（なければ、はちみつで可） 10g
●すりごま 大さじ１（お好みでたっぷりでも）
◇ねぎ…みじん切り ２５ｇ（お好み量で）
みそ 適宜
水 200ml
くるみ １０ｇ
◆胡椒 適宜
サラダ油 大さじ１
昆布 ５㌢位
塩 少々
砂糖 大さじ２
○オイスターソース 小さじ1ずつ
生クリーム 好みで適宜
水 大さじ1
しょうが（皮以外、千切り） １個
抹茶 ７ｇ
油 大1／2
プロセスチーズ ５０ｇ
Ｂ酒 大3
酒 大2
✿パン粉 ３０ｇ
●　マヨネーズ 大さじ３
カレーのルウ（中辛口） 適量
生クリーム（牛乳、豆乳、もはや無しでも可） 100ml
酒 大２
ケチャップ 適量
◎小ねぎ 適量
とき卵 １/２個分
☆酒 大さじ１
ラム酒 適量
コンソメ （キューブ）１個
米のとぎ汁 400cc
チリパウダー 適量
☆パルメザンチーズ 小さじ1
黒コショウ 少々
薄力粉 １２０ｇ
パセリのみじん切り 適量
スパム 150g
粉糖 適量
生クリーム 200cc
塩 少々
バターorマーガリン ひとすくい(なしでもOK)
出汁の素 大さじ１
卵白 １個分
干しさくらえび 適量
ドライイースト ２～３ｇ
クリームチーズ ５０ｇ
豚ミンチ（たね用） 100ｇ
◎（あれば）魚肉ソーセージ、またはハム ちょっとでいいです（笑）
ごはん ２膳
ココア（砂糖入を使いました） 20ｇ
･ドライイースト …3g(小１)
チョコレートチップ 1/2 cup (1 cup = 250cc)
もやし 100g
（Ａ）ごま油 大さじ1
（仕上げに）粉チーズ 好きなだけ
しろあん １５０ｇ位
玉ねぎ １/２個
ウエイパー 小さじ1〜1.5
酒 大さじ1
たまご 2個
✿ココアパウダー 10g
かつお削り節 一掴み
☆塩 小さじ1
粉糖(仕上げ用) 適量
マヨネーズ 小さじ1/2
◎はちみつ 大さじ１
塩 小匙１
抹茶パウダー ５ｇ
●めんつゆ 適量
はちみつ ２５ｇ
バター（マーガリン） 40ｇ
柚子ピール １００ｇ
塩・こしょう 各少々
青海苔 適量
★プレーンヨーグルト 大さじ2〜３
塩 少々
B：コンソメ顆粒 小さじ１
オリーブ油 大さじ１
卵 35ｇ
コーン 80ｇ
サラダ菜、ラディッシュ 適量
★塩コショウ 適宜
●ハチミツ 小さじ2
（お好みで）食べる時にかけるタバスコ お好み量
オリーブオイル 少々
みりん 大さじ１
七味 少々
ベーコンビッツ ５０ｇ
ラム酒漬レーズン ６０ｇ
水 １／４カップ
（Ａ）卵 １個
みりん 大１
しめじ 1パック
果物お好みで（オレンジと林檎） 適量（お弁当箱１つ分）
☆酒 大さじ１
△酒 大さじ1
ニッスイおさかなのソーセージ １本
サラダ油 小さじ1
サラダ油 大さじ１
マヨネーズ マイルドにしたい人はこちらを
タネ抜きドライプルーン 10粒
胡椒 少々
醤油、すりごま、ごま油 各大さじ２~３
しょうゆ 適量
ﾄﾞﾗｲｲｰｽﾄ ６㌘
白ごま 適量
●マヨネーズ・トマトケチャップ 適量
ココアパウダー 15g
【ニンニクのみじん切り】 ２片
カカオパウダー 大さじ２杯
卵白 1/2個
溶けるチーズ 適量
☆ナンプラー 大さじ１(18g)
コチュジャン 小さじ１
レモン汁 大さじ1
にんじん 1本
おろししょうが 小１
サラダ油 適量
砂糖 小さじ1
アーモンド ３０グラム
粉チーズ 適量
☆大根おろし ３センチ分
●薄口醤油 大２
味噌 適量
しらす お好みの量
かつおだし 300cc
　　生クリーム（なるべく乳脂肪分45%以上） 100ml
醤油 大さじ１
白ごま 少々
醤油 小さじ2
玉ねぎ １/4
塩・胡椒 適宜
固形コンソメ １こ
酒 小さじ1
鶏ささみ ２００ｇ
茄子 小２本
　酒 大さじ1と1/2
酒 大さじ1.5
つぶあん 80g
パスタ⇒フェデリーニ(1.4㎜) 300ｇ
鶏むね 1枚
人参 ５cm
塩胡椒 少々
コーン お好みで
ケチャップ 大さじ１
　酒 大さじ1/2
しょうゆ 50cc
シメジ・えのき １パックずつ
ご飯 150ｇ
オレンジの皮 １／２個分
板チョコ(私は明治ミルクチョコ使用) ２９０g(５８g×５枚)
バター ５０ｇ
■本みりん 小さじ１
☆薄力粉 120ｇ
黒胡椒 適量
ベーキングパウダー ５ｇ
胡椒 少々
ニンニク １～２かけ分
鶏挽肉 ８０ｇ～
マカロニ入りソースミックス １
生クリーム 大さじ２
ぎんなん 適宜
チョコチップ 35ｇ
シロップ用　甜菜糖 20ｇ
油 適量
コーンスターチ ３０g
バター ５０ｇ
醤油 ５０ｃｃ　＋　１０ｃｃ
しめじ 1/2株
ミックスベジタブル 大さじ３
シメジ 50g
片栗粉 大さじ 5
レモン汁 レモン半個分
バター ４０ｇ
酒 小さじ1
抹茶パウダー ８ｇ
醤油 大さじ2
トマトホール缶 １缶(200g)
ココア 大さじ２
味醂　Ａ 小匙１
固形コンソメスープの素 １個
くるみ刻み 87ｇ
ご飯 ２膳分
塩 少々
カブ（大根でも） ３個（３００gほど）
チューブ入りしょうが 5ｍｍ分
パプリカ ２分の１個
にんにく（チューブ） ２㎝
水 500ｍｌ
カゴメミネストローネ用ベース 1袋
水 大６
粗引き黒胡椒 少量
塩・コショウ 適量
レモン汁 少々
コンソメキューブ 2個
　　しょうゆ 大１
★ケチャップ 大さじ1
白菜 2枚
▲きび砂糖 ２０ｇ
コーン（冷凍） 適当
★ネギか（や）ニラ 2束
ソース ６０ＣＣ
マヨネーズ・ケチャップ 適量
◆コンソメ ２かけ
塩 小さじ１．５
塩 少々
バニラエッセンス 小匙１
◆醤油 大匙１
◑カルヴァドス（またはバニラエッセンス） 適量
☆水 大さじ８
三つ葉 1束
白ゴマ 適量
●ナンプラー 小２
バター 5g
Ｂ　水 大さじ１
カレー粉 少々
油 大さじ２
ドライイースト ２．７グラム
あんこ 適宜
●白だし 大さじ１
◆無糖ココア １５ｇ
パクチー（根付き） 1本分
片栗粉(まぶす用) 適量
砂糖 40g
万能ねぎ 適宜
片栗粉 大3～4
レーズン お好みで適量
★ウスターソース 大さじ１
水 1/2カップ
卵白 1個分
パン粉 適量
グランマニエ（無ければコアントロー） 100㏄
ケチャップ 大さじ3
水 200cc
芋 ４００ｇ
みりん 小さじ1
粉砂糖（仕上げ用） 適量
砂糖 50g（~100g）
★片栗粉 大1
ブラックペッパー 適量
レモン汁 大さじ1
ケチャップ スプーン２
かまぼこ 適量
玉ねぎ 1/2個
塩コショウ 適量
ピーマン 一個　
コンソメ 小さじ１
○シイタケ 1/2～1個
ベーキングパウダー 小さじ１杯
牛乳 ２００cc
砂糖 大さじ１
清酒 大さじ3
☆ヨーグルトムース☆ N0.1012082　ドライフルーツ?NEWヨーグルトの食べ方参照
パブリカ　（赤、橙、黄） 各１／４個
白胡麻 適宜
＊塩、黒胡椒 強めに少々
生姜 適量
　だし汁 100ml
ケチャップ 適量
とろけるチーズ 適宜
＊ニンニク(みじん切り) 1片
すり胡麻 大さじ2
バジル 小さじ2
トマト缶 2個
ゆでたこ ９０ｇ
みりん 100ｃｃ
大根（すりおろし） ５ｃｍ
ごま油 少々
★ビスケット ２０枚
酒 大さじ２
★レモン汁 小さじ1/2
乾燥バジル（あれば・・） 適量
オイスターソース 大さじ３
粉糖 適量
たまご １個
塩 小さじ1/2
◎粉チーズ 大さじ３くらい（お好みで）
▼酒 大さじ３
牛乳＊固さを調節 適量
サランラップ 適量
油 小１位
片栗粉 小さじ１杯
豆乳 70cc
ゴマ油 小さじ1/2
☆卵の白身（無しの時は水大さじ１） １個分
低脂肪リコッタチーズ（またはカッテージチーズ） １カップ
とろけるチーズ 150ｇ
パルスイート（カロリー1/10のもの） １７ｇ
塩・コショウ 少々
●りんご 中2個
★にんにく（チューブ） 小さじ１
オリーブオイル 大さじ１
＊スキムミルク 大さじ１
トマトの水煮缶 １缶
コリアンダーリーフ 適量
みりん 大さじ１
塩 3グラム
こしょう 適量
油 適量
きざみねぎ お好みで
醤油 大さじ１
バニラエッセンス 3～5滴
●薄力粉 ２７５ｇ
酒 小さじ１
長ねぎ 1本
カニカマ ２本
鶏肉もも身・小さく切って少量の酒をふりかけておく 1/3枚
荒びき胡椒 少々
Ａ：小麦粉 大さじ1
小ネギ（刻む） 適量
サラダ油 小匙1杯
卵 1個
☆うすくち醤油 小さじ1
みりん 小匙1
バニラオイル 少々
塩 小さじ１強
バター ５g
片栗粉 大さじ1
とけるチーズ 適量
濃口醤油 大匙２杯
にら 30ｇ
だしのもと 小さじ１
片栗粉 大さじ2
こしょう 少々
料理酒 大サジ１
ウエイパー 大さじ１～
☆バター 小さじ２杯
☆ウスターソース 大さじ4
飾り用に粉砂糖 少々
水 小１
刻みのり お好みで
ごま油 大匙１
生クリーム ４０ｃｃ
牛乳 110g
塩・こしょう 適量
薄力粉 200g
鶏ガラスープ 水（600cc）+もと（大さじ1）
生クリーム 100cc
アンチョビフィレ 3枚
しょうが（みじんぎり） 小さじ１
白ワイン 少々　
★豆板醤    小さじ1/2
ベーキングパウダー 小さじ３
焼肉のたれ 大さじ５
しょうが 小さじ1
めんつゆ 適量
○ぬるま湯 75ｃｃ
だしの素 小さじ１
春巻きの皮 10枚
ねぎ 少々
☆水 120cc
バニラオイル 少々
溶き卵 1/2個分
■卵 1個
クッキーの周りにまぶすグラニュー糖 適量
◎酒 大さじ1
バニラエッセンス　(省略してもいいです) 少々
粒餡 70g
酒 大匙４
さとう 大さじ1
てんぷら粉 大3
塩・コショウ・ナツメグ・マジョラム・ガラムマサラ・オールスパイス等のお好きなスパイス 適量
★みりん 大さじ２
塩・こしょう 適宜
グラニュー糖 ４０ｇ(６０ｇ)
ケトリング用　湯 ２Ｌ
ベーコン １～2枚
水 50ml
こしょう 少々
コーンスターチ １２g
グラニュー糖 10ｇ
塩 小2
･甘味調味料 小半
☆しょうゆ 大さじ2
酢 小さじ1
ウェイパー（無ければ中華だしや和風だし） 小さじ1
パン粉 ２０ｇ
塩 ３ｇ
しょうゆ 大さじ４
バニラエッセンス（あれば） 4滴
★砂糖 小さじ１
塩・砂糖・レモン汁 適量
チキンスープ 500ｃｃくらい
追い鰹 お好みの量
お好みで、ピーマン １個
サラダ油 適量
ブロックチーズ（ゴーダまたはモッツレア） ３０ｇ～５０ｇ
赤ワイン 大１
あんこ ４００g
唐辛子 １本
※コンソメ・塩・こしょう・ナツメグ 各少々
残った栗 １０個
こしょう 適量
白ワイン 小さじ１
パン粉 適量
塩胡椒 少々
きのこ類 好きなだけ
白ごま 適量
コーンスターチ(小麦粉可) 大さじ３
練乳、牛乳 各大さじ１
しょうゆ 大さじ２
★塩 少々
＠砂糖 小匙1
ケチャップ 適量
☆固形チキンブイヨン １個
豆板醤 小さじ１（辛いのがお好きな方はもっとおおめに）
◎にんにく 1片
オリーブオイル 大さじ１
アラザン、チョコペンなど 適宜
☆パルメザン粉チーズ 大さじ１
★オリーブオイル 小さじ１
醤油 大さじ１と1/2
塩 大さじ１
★水 600cc
あればシナモン 少々
無塩バター ３０ｇ
塩コショウ 適量
みりん 1/2カップ
しょうが 適量
バター 小さじ１
バジル 適量（多め）
コーンスターチ 大匙３
しいたけ ２〜３個
◆牛乳 150cc
マーガリン(バター) 適量
塩コショウ 適量
チョコ（テンパリング用） ２００ｇ
とろけるチーズ スライスタイプだと１枚程度
★砂糖 小2/3
豚肉ばら（３枚肉） １２枚くらい
ご飯 茶碗3分の1（約30ｇ）
●ニンニク  1〜3カケ
酒 大さじ2
油揚げ １枚
小麦粉 １４ｇ
コショウ 少々
スイートチリ （仕上げ用）
★ﾅﾂﾒｸﾞ 少々
にんにく 一かけ
薄焼き卵 卵１つか２つ分
じゃがいも 中２個（正味２００ｇくらい）
きぬさや ８枚
★マヨネーズ 大さじ５～６
にんにく 適量
だしの素 小さじ１，５
市販のルー ２かけ
　ラム酒漬けのレーズン 好きなだけ
塩 小さじ１
◎グラニュー糖 90g
チンゲン菜 1把
◎しょうゆ 小さじ１
片栗粉 小さじ2
a白みそ 80g
カレー粉 大さじ2
豆板醤 大さじ2
椎茸 2個
塩、白ワイン、香りのEXオイル 適量
しめじ 1/2パック
大葉 適量
砂糖（メレンゲ用に） 小さじ３
●酒 大さじ２
キムチの素，酒，水 各 大さじ １
○ごま油 大さじ1
昆布茶 スティック１本
塩 適量
照り用卵 適量
ご飯 どんぶり１杯
天かす・海苔・ゴマなどあれば 適宜
ドライイースト 3g
ピザ用チーズ(とけるタイプ) 大さじ２～３
シメジ １株
Ａ・醤油 大１
酒 １カップ
⚫︎コチュジャン みりん、赤みそ、を加えて電子レンジで1分ほど加熱してまぜまぜするとコクがでます
オイスターソース 大さじ　１．５杯
胡椒 適量
塩 少々
★醤油 大さじ半分
クルミみじん切り 大さじ１
塩・コショウ 少々
こしょう（今回はグリーン） お好みのものをお好きなだけ。
お餅 ４個
塩こしょう 適量
カレー粉 大さじ1と1/2
＊お酒 大さじ２
醤油 少々
牛乳 大５〜６
◆牛乳 ６０ｃｃ
トマトケチャップ 大さじ2
◇玉ねぎ 小1個(薄くスライス)
サワークリーム 120g
ローリエ ０．１グラム
バニラエッセンス ５滴
ごま お好みで
●七味とうがらし ３～５振り
胡桃 適量
ケトリング用　湯 ２L
水 使用する鍋の半分より少し多め
牛乳 少々
ポン酢 ５０ｃｃ
じゃがいも 1個
醤油 １・２滴
★バター 大さじ２
カシューナッツ 1/3カップ
▲ごま油 大さじ1/2
★しょうゆ 大さじ３
☆メープルシロップ 小さじ1ほど
塩・こしょう 適量
塩 小さじ1/2
ドライイースト 4ｇ
コショウ 少々
◎砂糖 大２強
ブナしめじ 一握り分弱位
酒 好みで！！！
♪みりん 大1
バター 10ｇ程度
◎玉ねぎ 1/2個
ラーメン（乾麺）またはお餅 お好みで
★薄力粉 大さじ1
きゅうり 1本
くるみ ８０ｇ
　　☆甜面醤　 大さじ１.５
砂糖 大１
☆鶏モモ肉☆ ３５０グラム
*ラー油 …2〜3プッシュ
とろけるチーズ(スライス) ２枚
ケトリング用　湯 ２L
白いりごま 大さじ２
オリーブ油・塩・酢 各適宜
パセリ         少々
小麦粉 大さじ３弱
　・にんにく(みじん切りに) 1片
*タイム 小さじ1
☆コチュカル（粉唐辛子） 大きいスプーン0.5
さとう 大さじ1
☆マヨネーズ 小さじ1
○インスタントコーヒー粉 小さじ1
みりん・しょうゆ 各大さじ1
オリーブオイル 大さじ1
水 100ｃｃ
温泉卵 4個
ご飯 適量
グラニュー糖 50g
砂糖（苺用） 大さじ２
にら 2本
コンソメ 小さじ2
酒 1/3カップ
バター ５０ｇ
◆みりん 大匙１
〇塩・こしょう 各少々
100％オレンジジュース 1/4C
オリーブ 適量
片栗粉 大２
コンデンスミルク（あれば） 小１
★砂糖 大さじ1/2強
はちみつ ２０ｇ
水 ２００ｃｃくらい
合い挽き肉 150～200ｇ
ラム酒 大4
ａ酢 大匙１
鶏がらスープのもと 大匙1
ケチャップ 大さじ4くらい
中華味の素 小さじ2
ワサビ 適量
オリーブ油 小さじ１/２
玉ねぎ ２分の１個
☆レモン汁 小さじ１
とろけるチーズ 適量
薄口しょうゆ 大さじ２
水 ２カップ
塩・黒こしょう 適宜
●ナツメグ(なくてもOK) 少々
平和食品 鶏ガラスープの素 大さじ１
ビターチョコレート 60g
〇めんつゆ 大さじ１弱
リアル社のマヨネーズ 1カップ
★レモン汁 大１
ごま油 少々
(A) 水 １００cc
■ オリーブオイル 少々
にんにく 1かけ
ヤマサ昆布つゆ 25ml　（大さじ1+小さじ2）
コショウ 少々
☆胡椒 少々
　ぬるま湯 100g (30℃位)
☆ゴマ 小１
ドライフルーツ 適宜
豆乳 大さじ3
七味唐辛子 少々（お好みで）
※固形コンソメ １個
クミンパウダー 適宜
サラダ油 大さじ１
じゃがいも １個
塩 小さじ1/3位
・サニーレタス 適量
☆砂糖 大さじ１/２
しょうゆ 大さじ2
○しょうゆ 大さじ２／１
大根 20cm
ごま油 小さじ１
砂糖 大さじ３
★片栗粉 50g
酒 大さじ３～４
ホールトマト 1缶
レモンピール ２５ｇ～お好みで
＊すりおろしニンニク（チューブ可。無くても可） 適量
◎酒 大さじ1
みりん  大さじ1
塩コショウ 適量
ほうれん草 1束
ケトリング用　湯 ２L
◎顆粒鶏がらだし 小さじ1
パネトーネマザー 10ｇ
ごま油 t２
砂糖① 小さじ1/2
コンソメ ４個
しめじ ２分の１パック
味噌 ８０g
クリームチーズ 1箱（250ｇ）
ナツメグ 少々
水 適量
味の素 適量
玉葱（みじん切り） 半分
塩 小さじ1
黒胡椒 少々
◎にんにく 1かけ
マヨネーズ 適宜
ミニトマト ６個ぐらい
ニンジン（水分の多いカレー用） 小１本
バター(ﾏｰｶﾞﾘﾝ) 適量
【にんにく】 1かけ
豆乳 ４００ｃｃ
牛乳 100cc
☆青のり 大さじ1
*片栗粉 大１強
小麦粉 大4
●鶏がらスープ粉末 小さじ1
小葱 少々
水溶き片栗粉 少々
みりん 大さじ１
水溶き片栗粉 少々
○かつお節 ５ｇ
★コンソメの素 少々
〇塩・胡椒 少々
味噌 小さじ１杯〜２杯
◎プレーンヨーグルト ６５g
ごま油 少々
ショウガ（千切り） 半分
★中華スープ 200㏄
パン粉 適量
かつおぶし 好みで加減
塩 小さじ１
★みりん 大１
大根 約4cm分
☆塩 1〜2つまみ
ゆず胡椒 小1/2
●ぎんなん 数粒
みりん 小さじ１
豚肉 適量
たまご １こ
●豆板醤 適量
☆おろししょうが(チューブ) 2cm
すりおろしニンニク 小さじ1
砂糖 小さじ１
片栗粉 適量
塩胡椒 少々
★砂糖 大さじ１・1/2
白ワイン 大さじ2
パン粉 適量
塩 小1/3
○水 １００ｃｃ
醤油 大匙１
卵 １個
粉砂糖（あれば） 適量
ごま油 小さじ１
★お酒★ 大２
ごま油 適量
エキストラバージンオイル 大さじ３
●水 50CC
醤油 大さじ２
片栗粉 大さじ１
（お好みで）一味唐辛子 少々
水 200ｍｌ
☆酒 大さじ１
★砂糖 大２
●茹でたかぼちゃの皮（黄色い部分つきが◎） 20g
◆みりん 大匙１
あれば　きゅうり 好きなだけ（写真だと1/2本）
●固形コンソメの素 1個
揚げる用の油 適量
バター 10ｇ
水溶き片栗粉 大さじ３
牛乳 150cc
レーズン 20g
ハム １枚
塩 少々
＊にんにくチューブ 小さじ１/２
料理酒 大さじ４
☆だし汁 １カップ
砂糖 大さじ３
醤油 小さじ2
オリーブオイル 大さじ1
★醤油 大さじ５
刻み海苔 適量
塩 適
オリーブオイル 大さじ１
片栗粉 適量
チョコレート（飾り用） ３０gぐらい
酒 大さじ３
★砂糖、オイスターソース、ケチャップ、ソース 大さじ１
だしのもと １袋
＊すりごま 大匙２
白醤油 小さじ３
水 300ml
えのき 30ｇ
酒 １００ＣＣ位
★みりん 大さじ2
★1　湯 150ｃｃ
しょうゆ 大さじ1/2
パン粉 大さじ2～3
【A】酢 大さじ1
薄切り生姜 2～3枚
しょうが 1.5かけ
飾り用のいちご・ホイップクリーム 各適量
コーン（缶） 60g
ごま油 少々
生姜 １かけ
＊レモン汁 少々
酒 大さじ2
水 適量
トマト水煮缶 １缶
★水 250ml
豆板醤 お好みで
牛乳 ５０ｍｌ
わかめ（生食用） 30cm
塩 ０．１グラム
粗挽きコショウ 少々
トマト缶（400g） 1缶
しいたけ 5個
醤油 こさじ１程度
★酢 大さじ2
♥パセリ 適量
ベーキングパウダー 小さじ1/4
梅干し １コ
炒め油　　サラダ油 小匙1
グラニュー糖 ６０g
にんにく 1片
ゴマ油 少々
ニンニク（みじん切り） 1かけ
塩 少々
みりん 大１
ベーキングパウダー 小さじ1
塩 適宜
BP（ブラックペッパー） 少々
揚げ油 適量
みりん 大1
純ココア 5g
バジル   たっぷり
●しょうゆ 大さじ１と1/2
コンソメ 2.5g（ブロックの半分ぐらい）
長葱 適量
◎カレー粉（塩分無しの） 小２分１
しめじ 1/2パック
ローリエ １枚
ごま油 大１
牛乳 200ｃｃ
卵 1～2個
大根 200ｇ
薄力粉 大匙3
スライスチーズ 適量
◆サラダ油 ９０ｃｃ
ごま油 適量
砂糖 ひとつまみ
白ワイン ７０ｃｃ位
しょうゆ 大さじ3
スライスアーモンド ３０グラム
塩 ２つまみほど
生クリーム お好みで
水 大さじ２
塩+黒コショウ 適量
にんにく １かけ
酢 25cc
サラダ油 適量
いりごま 適量
水（42~3℃） 60～70ｃｃ
●しょう油、料理酒、みりん、顆粒だし、 各、大さじ２、１、１、１、
卵 ２個
くるみ 50g（ローストして7.8mm砕く）
ニンジン（角切り） 1/4本
塩 大さじ　1/2
いりゴマ 適宜
酒 大匙1
しょう油 大1
▼醤油 大1/2
けしのみ 適量
大根 ２ｃｍ分
水 100cc
　＊酢 大さじ２
にんにく １かけら
お酢 小匙1
生クリーム １００ｃｃ
●コンソメ 小２
溶かしバター １０ｇ
豆乳 130～140ｍｌ
無塩バター ３０ｇ
★人参 中１/４本
オリーブオイル 大さじ１
白ゴマ 適量
ベジタブルベース 大匙１
生クリーム １７０ｃｃ
長芋 ５㎝
ﾆﾝﾆｸ 1〜2かけ(お好みで)
オリーブオイル 大さじ２分の１
❥クックパー＠クッキングシート １０センチ
塩こしょう 適量
おいしい塩（なくてもOK） 適量
ケッパー(みじん切り) 6粒分
黒コショウ こさじ1/4 
パスタ（フェトチーニ） ３００ｇ
　　水 1と1/2カップ
キャベツ 大きな葉2～3枚分
塩 小さじ1/2
醤油 小さじ１/２
コンスターチ 大１
☆みりん  大さじ1
塩 少々
ちくわ １本
塩、こしょう 各少々
サラダ油 ４０ＣＣ
酒 大さじ1.5
牛乳 １００cc
　　ほうれん草（ゆでたもの） 半束
☆醤油 大さじ3と1/2
ごま 適量
※水 1カップ
■　お湯 １００ｃｃ
生パセリやにんじんの葉っぱなど 適量
●ゆで卵 1個
一味唐辛子 お好みで
メキシカンチリソース 辛さ調節用
バジル・オレガノ（乾燥） 各小さじ１
サラダ油 大1
アレルギー対応のマーガリン ３０グラムと炊飯器に塗る分
てんてきの糖 40g
塩・胡椒 少々
スパゲティー ３２０g
★オリーブオイル 20ｇ
ホールコーン 50ｇ
ケトリング用　湯 ２L
白ワイン 2/1カップ
卵白 ４個分
生クリーム １５０CC
砂糖 40グラム
醤油（コツ・ポイント参照） 適量
バター 大1
○塩　こしょう 適量
トマト水煮缶 １缶
酒 大さじ２
ゆで卵 2個
ビーフシチューのルウ １/２箱
●塩 少々
砂糖 小さじ１
塩・こしょう 少々
☆酒 大さじ2
コンソメキューブ 2個
人参 中1本
凍み豆腐 ３～４枚
水 １００cc
バター ４０g
ソース 大1
bサラダ油 大２
卵 １個
ケチャップ お好きなだけ
★バニラオイル 適量
牛乳 100ml
さけ 大1
A　砂糖 大さじ１
ニンニク 一欠け
砂糖 小２
薄力粉 140g
A：固形スープの素 3個
酒 大さじ１
酒 大さじ１
･バター 10g
塩 ひとつまみ
醤油・砂糖・酒 大さじ３
バージンオイル 適量
塩こしょう 適量
＊砂糖 大２
クックパークッキングシート 適量
ケチャップ 大さじ２～３杯位
しょうゆ 小さじ１
レタス 適量
・無塩バター ５０ｇ
塩 一つまみ
ねぎ 適量
塩、こしょう 少々
★醤油 大さじ1
鰹だし 小さじ1
砂糖 小さじ１
＊塩、こしょう 少々
☆みりん 大１
ナツメグ 少々
牛乳 7～800ml
黒胡麻 少々
大根 5㎝くらい
コンソメ  2、5個
酒 大1
牛乳 600ｃｃ
はちみつ 大さじ2
野菜（ブロッコリー、マッシュルームなど好みで） 適量
サラダ油やオリーブオイル 小さじ１
胡椒 少々
好みのリキュール 約小さじ1
インスタントコーヒー粒 大さじ１と１/２
牛乳 １００ｃｃ
楊枝 ２本
カラースプレー １袋
マヨネーズ 小さじ２
みりん 大さじ１杯
★酢 大1
　水 １５０ｃｃ
インゲン 4～5本
　　オイスターソース 大１
フレンチドレッシング 適量
水 ３カップ
桜エビ 大さじ４
イタリアンパセリ 適量
片栗粉 大さじ1
ゆで汁 お玉２～３杯分
トマトケチャップ 大さじ１弱ほど（好みで）
塩・胡椒 少々
大根おろし（付け合わせ用） お好きなだけ！
★オイスターソース 大さじ１
砂糖 小さじ１弱
胡椒 少々
バター 25ｇ
卵 ひとり１個
●砂糖 子さじ1＋1/2
塩コショウ 小さじ1/2
ラムレーズン（お好みでラム酒漬けのドライフルーツ） 120g
●みりん      小1
お酢（レモン汁でもＯＫ） 小さじ１弱
パセリ 適量
塩・こしょう 適量
ブラックペッパー 適量
塩 適宜
☆醤油 小1～1.5
紅しょうが お好みで
味醂 大さじ３
（つけあわせ）ベーコン 30ｇ
○濃縮めんつゆ 大さじ１弱
たまねぎ 大の半分
バニラオイル 数滴
パセリ 適量
塩 少々
マーガリン（バター） 大さじ1
水 大さじ3
生クリーム（ホイップ用） １００ｃｃ
レモン汁 小さじ1
エリンギ又はマッシュルーム 2、3個
さとう ４０グラム
●片栗粉 小さじ１
牛乳 250ml
チーズ 好きなだけ
●ビターチョコ 200ｇ
粉チーズ 小さじ4
●卵 １個
砂糖 ６０ｇ
塩  小さじ1/2
パスタの茹で汁 ６０cc
片栗粉 大さじ２
醤油 小さじ2
ふじっ子お豆さん 一袋
生姜（ﾁﾕｰﾌﾞ） 大さじ1
こしょう 少々
アーモンドプードル...A 60グラム...60%
コンソメ ２個
☆ﾅﾂﾒｸﾞ 適量
干し椎茸 2〜3枚
スキムミルク 大２
（仕上げ用）卵黄 １個
☆たまご ３個
エリンギ 1パック（2，3本）
カラメル用　砂糖 ５０ｇ
塩・コショウ 適量
ご飯 ４人分（１人１５０ｇを目安に）
こしょう 少々
ごま油 大１
水 ３００ｃｃ
コンソメキューブ ３個
バナナ・キウイ・イチゴetc... お好みの量で
にんにくすりおろし 大さじ1
ウェイパァー(ご自宅にある中華だしでOK) 小さじ1
☆カレー おたまにこんもり１杯
☆砂糖 小１
－－－－－－ －－－
粉唐辛子(コチュ) 大さじ１
ガーリックパウダー 適量
Ａ粉チーズ お好みで
バター １０ｇ
●アボカド(ダイス切り) 1個～1/2個
☆水（様子をみながら） 約大さじ１
パセリ 適量
●お湯 ５０ｃｃ
水 500ｍｌ
ｴﾘﾝｷﾞ 1株
●牛乳 大匙１
卵 2個
さつま揚げ　スライス 2本
醤油B 大さじ2
水 大根と肉が隠れる位の量
バルサミコ酢 大さじ1
生クリーム ８０ｍｌ
とろけるチーズ 2枚
ドライバジル・ドライオレガノ（あれば） 少々
黒ｺﾞﾏ ６粒
コショウ 適量
長ネギ斜め切り 1／2本
ベーキングパウダー（BP） 1.5g
しょうゆ 大さじ2
●お湯(もやしの茹で汁でもOK) 大さじ１
乾燥ミックスハーブ 適量
★酒 大１
マヨネーズ 大さじ1
チョコペン 2本
水 大さじ2
パルミジャーノレジャーノ お好みで
　ニンニクすりおろし １/２片
市販のルー 大１箱
ナツメグ 少々
ピーマン ３個
◎生姜 小さじ1
しょうがしぼり汁 1/2片分
人参 1／2本
いくら 適量
a 白ゴマ 適宜
☆片栗粉 小２
