■酒 40ml
オリーブオイル 大さじ1
岩塩 小さじ２
ねぎ ３本分くらい
塩 小さじ1
旨味調味料(ハイミー) 1～2振り
塩 小さじ１
卵 １個
赤唐辛子（輪切り） ひとつまみ（お好みで）
ニラ 1束
マヨネーズ お好みで
コショウ 適宜
●オイスターソース 小１
水 適量
具入りラー油 適量
米 ２合
＊豆腐 １００ｇ程度のもの一丁
豆腐 １丁
からし 好みで
にんにく・しょうが（すりおろし） 各小１
　砂糖 ４０ｇ
酒 大さじ２
●ウェイパー 小さじ1
セロリ １本
塩胡椒・粗挽き胡椒 少々
バター 適量
醤油 お好みで
●砂糖 大1/2杯
コンソメ 大さじ１～２
＊＊柚子胡椒 少々
☆酢 大さじ２
抹茶 小３
☆サラダ油 小さじ1
コリアンダー 小さじ１
ごま 適量
日本酒 大匙3
酒 大さじ１
●片栗粉 大１
チョコ、ばなな、粉砂糖 好きなだけ♪
ニンニク 2〜3カケ(お好みで)
ドライマジョラム 大1
　(薄口)醤油 大さじ１
☆すりおろしニンニク☆ お好みで
★塩 小さじ1/3
ブラックペッパー 適量
ごま油 大さじ１
☆砂糖 ３０グラム
強力粉 大さじ２
片栗粉 大さじ１
ゴマ 適量
ねぎ 一本分
バター ４０ｇ
マ・マー 一束
牛乳 ２００ｃｃ
めんつゆ 大さじ１
塩・こしょう 少々
水溶き片栗粉 片栗粉/大１弱、水/大１弱
水 大4
味噌 大さじ２
胡椒 少々
白ゴマ 適量
＊こぶ茶 付属のスプーンで1/2杯
マヨネーズ お好みの量
牛乳 250ｍｌ
ごはん 茶碗２杯分
★バター・・湯煎しておく ３０グラム程度
黒胡椒 適量
●にんにく １～２片
オリーブオイル 大さじ１杯
サラダ油 少々
ウスターソース 大１
ねぎ 適量
コンソメキューブ ２個
ソーセージ ４本
●こしょう 少々
Ｃ：全卵 １個
スイートチリソース 適量
味噌 小さじ1/2
★かつおだし（味の素の顆粒だし） 小さじ1
なす 一本
お水 ２分の１カップ
水 大匙1+50cc
水 200cc＋400cc
ブナピー １パック
●タカラ本みりん 大さじ2
ごま油 少々
長芋 50g
*マーマレード 大さじ2
板チョコ １枚
◆醤油 大匙１
にんにく 1片
＊酢 大さじ２
あんこ 適量
コンソメ(あればビーフブイヨン) 1個
オリーブ油 適宜
Ｂ：日本酒 大さじ３
○コンソメ １個
バルサミコ 適宜
生クリーム 200ml
砂糖 １５ｇ
レンコン薄切りのソテーやクレソン あれば
柚子の皮 適量
ブラックペッパー（ホール） 7粒
水溶き片栗粉 片栗粉大匙3＋水大匙3
〇みりん 小2
オリーブオイル 小さじ１
醤油 大さじ２
水溶き片栗粉 片栗粉（大さじ2）＋水（大さじ4）
みりん 大さじ１
牛乳 300ｃｃ
にんにく 1片
クルミ 適当
しょうが お好みで
醤油 〃
（B）酒 大さじ１
★ソース 適量
ごま油 少々
醤油 大さじ２
コンソメスープの素(固形) 2個
いりごま 少々
ココナッツミルク缶 アヤム ココナッツミルク 140ml　　1缶
生姜薄切り 1片分
卵白 2個分
レモン 少々
サラダ油 大さじ１
☆片栗粉 小さじ２
唐辛子 2本
砂糖 小１
［Ａ］塩 少々
ごま油 大さじ１
玉ねぎ・白ネギ 好きな分だけ
ピザ用チーズ 好きなだけ
醤油 大１
サラダ油 少し
ほんだし 小さじ2
さとう 大５
ベーコン 3枚
水 半カップ
おろしにんにく（チューブでOK） 小１
ラム酒 10g
出しツユ ｶｯﾌﾟ1
ミルクチョコレート（板） １枚
ケチャップ 大３
ご飯 食べたいだけ
こしょう 少々
※酢 大さじ1
塩、こしょう 少々
バナナ 小２本
☆中華スープ 小さじ1/2
＊ りんご酢 少々
卵 5個
粉チーズ 適量
みりん 大さじ2
ポン酢 お好みで
無塩バター ３０g
☆オイスターソース 大さじ2
●ごま油 大さじ1
まいたけ 1/2株
無塩バター ２０ｇ
ピザ用チーズ 適量
○みりん 大匙１
ゴマ・黒胡椒 お好みの量
★醤油 小1
冷凍パイシート １枚
砂糖 大４
たら 150g
マーガリン 30g
黒ゴマ 大さじ1～2
ミックスベジタブル 50g
ホイップクリーム(お好みで） 適量
塩 適宜
オイル 大さじ1/2～1
EVオリーブ油　ソース用 適宜
鶏がらスープの素 大さじ２
♥味の素 ７振り
サラダ油 揚げ油用
パスタ ２００ｇ
ハーブミックス 少々
水溶き片栗粉 適量
コーンスターチ １５ｇ
Tomato Paste 大さじ１
ナッツ、ドライフルーツ、チョコチップetc ４０g～６０g
＊すりおろしニンニク（チューブで可） 少々
☆トマトケチャップ 大さじ1/2
こしょう 適宜
ピザ用とろけるチーズ お好きなだけ
オレオ １袋(９枚)
揚げ油 適量
豆板醤、砂糖 各小さじ１
★ほんだし（顆粒 １袋
卵 １個
●鶏ガラスープ 小さじ１（大さじ１の湯で溶かす）
塩、こしょう 各少々
グラニュー糖 ひとつまみ
醤油 大さじ１
くこの実 好みで
ラムフルーツ ２００ｇ
乾燥バジル、オレガノ等 適量
塩、コショー、シェリー酒 少々
●塩 ひとつまみ
粗挽きこしょう 少々
ドライイースト 4ｇ
ｺﾞﾏ油(炒め油) 大さじ2
ラム酒 少々
和える用のマヨネーズ 適量
ゴマ油 大さじ１くらい
○砂糖 大さじ1
パセリ 飾りなのでなくても可
ニンニク(すりおろし) 小1 /4
シイタケ 8～12個(大なら6個）
サラダ油 適量
揚げ油 適量
水 100ｃｃ
片栗粉・小麦粉 １：１　適量
しょうが（今回はなかったので、すりおろしのチューブで） 1つ
醤油 大さじ１
★酒 大さじ2
砂糖 ひとつまみ　
人参・インゲン・マッシュルーム・パセリ・玉ねぎ・ベイりーブ お好みで(なくても可)
パセリ お好みで
塩、こしょう 適量
塩、こしょう 少々
酒  大さじ1
小麦粉、片栗粉 大さじ４
ゆでたけのこ 1/2個
♪生クリーム 100cc位
塩 適量
パスタのゆで汁 大さじ５
パン粉 適量
塩 大1
ごま油 大さじ１
☆鶏がらスープの素 大さじ1
ゆず胡椒 小さじ1/2
ごま油 小さじ2
★豆乳 大２
しょうがすりおろし 大さじ１
水（蒸し焼きのため） 大さじ３～４くらい
ドライイースト 小さじ１
チョコペン（お好みで） １本
バター(ソース用) 10ｇ
酒 大さじ２
【B】みりん 小さじ1
お好み野菜/えのき 1パック
醤油 大さじ１
★赤味噌 大匙半分
酒 大2
ピザ用チーズ 好きなだけ
塩 小さじ１
溶けるチーズ 好きなだけ☆
卵 ２個
コンソメ 大さじ１
卵 生地の残り
〇生姜（すりおろし） 小１
ポン酢 適量
塩・こしょう 適宜
塩・胡椒 少々
塩 適量
塩＆こしょう 少々
●水 150cc
塩・こしょう 少々
リンゴ酢 10g
トマト 1/2～1個
酢 大2.5
水 500～600ccくらい
ベイリーフ １枚～２枚
コーングリッツ 適量
水溶き片栗粉 適量
☆水 大1
こしょう 小さじ１／２
砂糖 大さじ４
レモン汁 ～大匙１と２分の１･･･コツ欄参照
七味 お好みで
A醤油 大さじ２
原液・炭酸 50ｃｃ・150ｃｃ
メープルシロップ 55g
粉糖（お好みで） 少々
味噌 大さじ2
みりん 大さじ２
★片栗粉 小さじ１
白ごま 適量
砂糖 大さじ２
砂糖 少々
★ブラックペッパー 少々
胡桃 50g
塩 小さじ1/8
MIXビーンズ（ヒヨコマメ、レッドキドニー、白いんげんなど） 適量
メープルシロップ 大さじ2
Ｂ）オイスターソース 小匙1
バニラオイル（無ければエッセンス） 少々
美味しいお塩 少々
サラダ油 適宜
●片栗粉 小さじ２
小口ネギ 適量
Ｂ　ガラムマサラ 小さじ１
味の素ｋｋコンソメ（固形） 2個
トマトジュース 小１缶
ぬるま湯 150ｃｃ
塩 小さじ1/4
バター 大さじ2
きび砂糖 大匙１
ブラックペッパー 少々
中華…ごま油など 適宜
にんにく １カケ分
レモン 少々
*ライム絞り汁（大） １個
小麦粉 適量
牛乳 1cup
鷹の爪 1/2本
ホワイトチョコレート（1箱） 40g
豆乳 １/２ カップ
オリーブオイル 大さじ1
鍋用サラダ油 大さじ3＋2
水 200ｃｃ
小葱 2本
油揚げ 1枚
　・しょうがのスライス 3枚程度
レーズン ４０ｇ
･・みりん 100cc
チーズ 適量
ケチャップ 大さじ3
サラダ油 適量（揚げ用）
オレガノ 適宜
ごま油 大さじ１
☆塩・コショウ 少々
　　　粉唐辛子 少々
ごま油 小さじ１
砂糖 大さじ１
◆ホールトマト １缶
ゆで汁 大さじ2
★酒 大さじ1
うどん 1玉
＊鰹だし （市販の顆粒 小匙1
プチトマト 1/2パック
オレンジピール　５ｍｍ角切り ２枚分（５０～６０ｇ）
グリーンリーフ 一枚
塩・コショウ 少々
パン粉 適宜
酒　・　醤油 各大1
★みそ 大さじ3
●水 ３００㏄
☆砂糖 大さじ2
※砂糖（生地の周りにつける） 適宜
牛乳 20g
バター 適量
たけのこ（細切り水煮） 1/2袋
ドライイースト 小1/2
・チョコチップ 適量
ごま油 適量
○砂糖 大２．５
水 １１５ｇ
塩こしょう お好みで
オリーブオイル 大さじ1
★だし汁 1カップ
醤油 大３
赤みそ 大さじ1
だしのもと 小さじ　1
タイム（ドライ可）・チャービル お好みで・・・
★コンデンスミルク 小さじ1
卵 1個
もち 食べる　個数
白味噌 大さじ３
ごま（あれば） 適宜
＊しょうゆ 大さじ２
ホットケーキシロップorメープルシロップ 適量（かけて食べる用）
コンソメ ２個
揚げ油 適
白ワイン 小さじ１
＜しめ＞　ご飯 １杯
☆水 ６００ｃｃ
塩・胡椒 各適量
料理酒 大さじ１
フライドオニオン 大1
●焼肉のたれ（市販の物OK） 大さじ3
乾燥パセリ 少々
マヨネーズ 適量
黒こしょう 少々
★しょうゆ 大さじ4
●コンソメ 小さじ1/2
胡椒 適宜
オリーブオイル（省略可） 小1
長ネギ １本
★レモン汁 小１
●味噌 40g～
水 １／２カップ
だし 100cc
固形コンソメ １個顆粒なら小２
●パン粉 1/2cup
揚げ油 適量
ビスケット 70g（マリーを使う場合、3枚入りを４袋で72gになります）
オクラ ５本
ナンプラー 大さじ2
☆砂糖 大さじ１
しょうゆ 大さじ2
椎茸 ４つ
錦糸卵 お好みで
●水 ５０㏄
塩 少々
レモン汁 小１
粉砂糖（飾り用） 少々
ご飯（またはナン） お好みの量
だし汁 大さじ３
ごま油 大１強
バター 大さじ1
きゅうり １本
●さとう 大さじ１～
　　しいたけ ３個
麺つゆ 適量
鷹の爪 小口切り 少々
ローレル １～２枚
ごま油 大さじ1
塩 適量
白ごま（ひねりつぶして） 少々
餃子の皮 １８枚位
★砂糖 大２
☆白ワイン（無ければ酒） 大さじ１杯
カマボコ あれば
ごま 少々
マヨネーズ お好みで
片栗粉 小さじ１
◆醤油 25㏄
赤唐辛子（輪切り） 少々
パセリ 少々
醤油 適量
白ワイン 大匙1
ヨーグルト 100cc
※塩コショウ 少々（気持多め）
酒 大さじ３
片栗粉、ゴマ油 各小さじ1
塩・ブラックペッパー 適量
ごま油 適宜
ＧＡＢＡＮ（コショウ） 適量
だし汁 シイタケの戻し汁と合わせて４カップ
塩コショウ 適量
☆コンソメ １／２片
チョコチップ 適宜
ラー油 数滴
塩、こしょう 各少々
お好みの野菜 たっぷり
七味・豆板醤 お好みで
塩コショウ 適量
ポン酢 好きなだけ
水 約５００cc
塩・こしょう 少々
塩 小さじ１/２
味噌 大さじ２
食紅 お好みで
片栗粉 適量
☆黄パプリカ（縦２～３ｍｍ千切り） １個
③グラニュー糖 6０ｇ
卵 ６個
★濃口醤油 大匙半分
☆砂糖 小さじ1
醤油 小さじ2
無塩バター １０グラム
酒 大さじ１
うどんつゆ・お出汁 人数分
ﾏﾖﾈｰｽﾞ 適量
砂糖　● 小匙２
スライスアーモンド 適量
ガラスープの素 小さじ２
★醤油 小さじ1/2
●白ワイン（酒） 小1
食塩　　　　　　● 小匙４分の１
片栗粉 大さじ2
餅又はトッポッキ 適量
ナツメグ 小1弱
クルミ 20～40g
餡の水溶き片栗粉 大さじ１
塩・胡椒 少々
砂糖 大さじ１
ごま油 小さじ2
愛のチョコレートリキュール 小匙１/２（省略可）
ケトリング用　砂糖 大さじ２
スライスアーモンド（お好みで） 適宜
薄力粉 ２００ｇ
バニラエッセンス 適量
トマト 1個
ピザ用とろけるチーズ 片手に軽く２杯程
コンソメスープ １カップ
お好みきのこ（写真は舞茸） 好きなだけ
水溶き片栗粉 大さじ２
☆チョコ 適宜
☆こしょう 少々
茄子 1本
バジル 少量
水 線ちょうどに入れる
粉砂糖 大さじ3
柚子の皮 適宜
オイスターソース 大さじ1
甘納豆（あれば） 一握り
●さとう 大２・１/2
・だし汁(もしくは水・昆布・いりこ代用) 1ｶｯﾌﾟ
水 1カップ
サラダ油 適量
お酒 大さじ1杯
牛脂（これ絶対） １個（肉の具合により２個）
◎レモン １/２個
塩・胡椒 適量
◎薄力粉 １００g
味の素（無くてもOK） 小半
揚げ油 適量
★リキュール（コアントロー） 大匙1
◎みりん 大3
牛乳 200cc位
塩コショウ 適量
大根おろし 適量
牛乳 適量
マヨネーズ 適量
生クリーム 100ml
◎酒、しょうゆ 大さじ2～3
砂糖 小２
※オイスターソース 小１
レモン汁 数滴
＊塩 小さじ1/2
酒 大２～３
☆砂糖 少々
黒蜜 少し
☆酒 小さじ１
ナツメグ お好みで
生地の総量 802g　　　　　200.5ｇ
（あれば）ホイップクリーム、練乳、フルーツ 適量
胡麻油  大さじ1
パセリ、あさつき等 適量
塩・コショウ・醤油 好み
とろけるチーズ 適宜
水 カップ1～適宜
グラニュー糖or粉砂糖orシナモンシュガー（仕上げ用なのでお好みで。今回はグラニュー糖とシナモンシュガーを使用。） 適量
生姜       2ｾﾝﾁ角
酢 3/4カップ
★ジャム(ﾏﾏﾚｰﾄﾞ） 小1
◆ピーマン（7mm角位） ピーマン小1個
小麦粉 大さじ3
黒こしょう(できれば粗挽き) 少々
しょうゆ、すし酢、コチュジャン、白ごま お好みの量
砂糖 大さじ１杯半くらい
ブイヨンスープ 3カップ
ラディッシュ ４個
黒コショウ 少々
きのこ類（マッシュルーム、しいたけなど） きざんで1カップ
すし酢 大３くらい
オレンジピール ６０グラム
ローリエ 1枚
豆乳 50g
○だしの素 小さじ2、1/2
塩、こしょう 各少々
Ａ　おろしにんにく 小１
●砂糖 大さじ１
★ごま油(お好みで） 極小さじ１位(風味付け程度）
ピーマン 2個
豆板醤（チューブの） 少々
いりゴマ（白） 大１
しお・こしょう 適量
チキンブイヨン １個半
きざみネギ 大匙４
生クリーム 大さじ2
パン粉 少々
＊黒胡椒 少々
水溶き片栗粉 タレのとろみに応じて
かまぼこ 適量
◎ウィンナーソーセージ 適量
砂糖 大さじ１
刻みねぎ（青ねぎ） 適量
はちみつ 大1
鶏がらｽｰﾌﾟ 220ｃｃ
しょうゆ 小さじ2
◆ケチャップ 大さじ４
★みりん 大2
水 ３０ｇ
出し汁 3ｃ
みりん １／２カップ
□ゆで汁 １００cc
ピーマン 1～2コ
●砂糖 大さじ２
サラダ油 １００ｃｃ
食用色素（緑・青） 適量
サラダ油 少々
◎ローリエ ２枚
ﾖｰｸﾞﾙﾄor牛乳 大1〜2
＊牛乳 1/2カップ
●砂糖 こさじ1
メープルシロップ 好みで
酢 小さじ1
揚げ用油 適量
バターまたはマーガリン 10ｇ
※ネギ 10cm
本だし 大１
めんつゆ（濃縮タイプ） 適量
■梅干し 小さめなら２個
白ご飯 好きなだけ
塩 小さじ1くらい
生クリーム 50cc
ショートニング 25g
黒胡椒 少々
揚げ油  適量
濃口醤油 大さじ４
ほんだし 小さじ1/3
卵 2個
★みりん 大さじ１
もやし 1袋
★酒 大１
ごま油  少々
牛乳 100ml
粉チーズ 適量
砂糖 小さじ１/２
にんにく・しょうが　チューブ 少量
トマト（みじん切りにする） 大さじ2
塩・胡椒 適量
＊湯 50cc
コチュジャン（仕上げ用） 小さじ1
片栗粉 大さじ１
サラダ油 適宜
バター 20グラム
とろけるチーズ 適量
いんげん 10本前後（斜め切り）
めんつゆ 大2
揚げ油 適宜
乾燥パセリ あれば適量
✿豆板醤 小さじ１／２～お好み
・砂糖 １５ｇ
○酢 小さじ２
・酒 大２
●いり胡麻 大さじ１
ラム酒 大さじ１
サラダ油 適量
粗挽き黒胡椒 少々
バター(マーガリン) 30グラム
トマトのホール缶 １缶
レモン（ポッカレモン可） 半分絞る（大さじ１・５くらい）
●おろし生姜 小１／２
バター 小さじ１強
★針生姜 少々
※みりん 大さじ２
あればキノコ類・人参・刻みﾊﾟｾﾘ・ﾊﾞｼﾞﾙ 適宜
塩・胡椒・顆粒鶏がら 少々
●コショー 少々
ココアパウダー 適宜
●水 ３００ｍｌ
白すりごま 適量
オレガノ（あれば） 適量
Ｂ醤油 小さじ1
○すりごま 大さじ2
コーン １／２缶
唐辛子 2本
酒 大さじ1
酒 大さじ1
玉ねぎ 半分
砂糖 大さじ2
醤油 大さじ2
なたね油 大さじ１
パルメザンチーズ お好みで
☆牛乳･豆乳のときはコンソメ 1/2個分（キューブは包丁で軽く砕いて）
バナナ (バナナ卵焼き用)
オリーブオイル 大さじ４
プライムバーモントカレー（甘口） １個
ミントや粉砂糖 好みで
ドライイースト ４ｇ
◇みりん ‥大１
アーモンド（飾りよう） 適宜（無くても可）
味噌 大さじ２
生クリーム ５０ｃｃ
☆こしょう 少々
レモン汁 少々
◆酢 大2
(B）卵 １個
きび砂糖 小匙１
○コチュジャン 小さじ１.５
ゴマ 少々
○玉ねぎ １個
キノコ＝しいたけ・まいたけ 食べたいだけ
19≪チキンカレー≫ ﾁｷﾝｶﾚｰ　大さじ２
サラダ油 適量
（味が薄い場合は）鶏がらスープのもと（中華味） 適量
しょうゆ 大１
蛸 適量
鶏肉　（腿か胸）　小さめの一口サイズに切る 1枚　（注：鶏肉は全体で2枚必要です↓具、参照）
☆醤油 小さじ1
Ｂアーモンドパウダー ３０ｇ
とうがらしの粉 大さじ１／２
醤油 小さじ１～
強力粉(お化粧用） 少々
▲砂糖 大さじ１
ツナ １缶
卵 ２個
○片栗粉（又はコーンスターチ） 小１
☆小ネギ☆ 大さじ２
塩コショウ 適量
しょうが １かけ（細切り）
コンソメ ２個
大根・にんじん・ジャガイモ 適量
生姜 １かけ
顆粒だし ひとつまみ
塩こしょう 少々
　・酒 大さじ１
●きな粉 50g
水 ６００cc
◎胡椒 適量
ケチャップ 少々
レモン汁 少々
鶏がらスープ ４００ｃｃ
たこ 適量
☆砂糖 大さじ１/２
ブルーベリー（乾燥、またはレーズン） 大匙２
油 大さじ１
かんずり（豆板醤でも可） 小さじ1/2〜1
ハウスバーモントカレー辛口 ２分の１箱
☆水 大さじ２
バター 少し
◎すりごま 大さじ３
焼き海苔 お好みで
塩こしょう 適量
やきそばの麺 ２人前
日本酒 50ｃｃ
にんにく 1かけ
バター（もしくはマーガリン） 小さじ１
バジルの葉 2枚
オリーブオイル 大さじ3
スライスアーモンド（なくても◎） １０g
塩・黒胡椒（あら引き） 適宜
塩（無塩バターを使った場合） 少々
とろけるチーズorピザ用チーズ 1枚or大さじ1（あればでよい）
ナツメグ、塩、こしょう、サラダ油 適宜
デザートホイップ 適宜
酒 大さじ１
卵黄 1個
塩・コショウ 適量
ブラックペッパー 適量
餅 適量
牛乳 100ml
☆小麦粉 60g
水 １６００ＣＣ
コンソメ 1個
レーズン（お湯でふやかすか、ラム酒漬） ５０ｇ
くるみ(炒って刻んだもの) 20g(お好みで★）
卵 半分
しお 3g
片栗粉 少々
塩、こしょう 少々
春雨 適量
白ごま 大さじ1
◎エリンギ ２パック
◎たまねぎ 中１/2個
しょうゆ 小さじ１
◎スモークサーモン ５～６枚
・ﾏｰｶﾞﾘﾝ 70g
ピザ用チーズ 大さじ3～4
チキンパウダー 一つまみ
水溶き片栗粉 適量
みりん 大さじ1
タバスコ 大さじ1
干しぶどう 適量
入りゴマ 小さじ１程度
サラダ油 適量
豆乳 ２００ｃｃ
醤油 少々
ラー油　● 適量(６～１０滴)
黒蜜 少し
たまご 2個
紹興酒（又は酒） 大さじ1
バター １０ｇ　多めで◎
飾り用★森永ダース 1箱
●酒 大さじ1
牛乳 ６０ｃｃ
塩（あれば岩塩） 少々（塩加減はお好みで）
ハチミツ 大さじ２(元レシピでは使わない)
たまねぎ １個
パセリ お好みで
刻み葱 適量
★豆乳 適量
カレー粉 お好みで加減
温めた牛乳 １００ｃｃ程度
☆みりん 大さじ1と1/3
こしょう 適量
塩コショウ 適量
強力粉(薄力粉でもOK) 適宜
シナモンパウダー 小さじ１
ローリエ 10枚
しょうが ひとかけ　
バター 20g～30g
乾燥バジル 適量
バター ３ｇ
卵 3個
醤油 100cc
サツマイモ 中1本
タマネギ 1/2個
しょうゆ 大３
牛乳 150mlくらい
その他、あまりの野菜があればみじん切りで♪ 適量
とろけるチーズ（ピザ用チーズでも） ３枚
★コショー 少々
☆しょうゆ 小さじ１～２
水溶き片栗粉 適量
おろしにんにく 小さじ１／２
薄力粉 ７８ｇ
○ラム酒 １／２カップ
無塩バター（焼成前用） 少し
オリーブオイル（サンフラワーオイルや紅花オイルなどでもＯＫ） 1/4カップ
☆コショウ 少々
みりん 大さじ1
★おろしにんにく 半かけ分
ゆで卵（無くてもOK。お好みで添えてください。） 4個
白煎りごま 少々
お酒（あれば白ワイン） 1/4cup
刻みベーコン 適量
酒 大さじ３
☆卵 ２個
レモン汁 大さじ1
塩・こしょう・ブラックペッパー 適量
カレー粉 適量
塩コショウ 適量
黒コショウ 適量
卵 1個
レモン皮 1/2個（無くてもOK）
鶏肉の南蛮漬けの南蛮酢（別レシピ参照） １かけ
♡卵 一個
★酒 大匙４
★鶏ガラスープの素 小さじ３
しょうゆ 大さじ3
醤油 大さじ２
★塩・コショウ 少々
☆板チョコ（代用→チョコチップ） １枚（７０g前後）
●塩 ひとつまみ
ミックスチーズ ひとつかみ
塩 小さじ1
砂糖（私はダイエット用の粉砂糖xylitol） 大匙２
卵 Ｌ１個
◎野菜(今回は白菜、レンコン、にんじん、しいたけ、ぬさやなどを使いました) 手のひらサイズのボウルに一杯
青海苔 適量
サラダ油 適量
塩コショウ 少々
木綿豆腐 １／２丁
◎酒 大1
乾燥パセリ 適量
　リキュール 大さじ1
ラム酒漬けレーズン ８０ｇ
★中華あじ 大1.5
卵 1個
●塩コショウ 適量
★コンソメ（顆粒） 小さじ１
ごま油 少々
お豆（市販の黒豆等） お好きなだけ
塩 少々
♥粉唐辛子 小さじ１/２～１
ポン酢（レシピID:1024161） お好みの量
☆ソース 大さじ１
キャノーラオイル 60cc
粉砂糖 5ｇ
オリーブオイル 大さじ１．５杯
ホットソース お好きなだけ
a酒 大2
ラムレーズン 約３０粒
酒 100㏄
○蜂蜜 ４５ｇ
★レーズン １６０ｇ（８０ｇ）
ガーリック 2g
ラムレーズン スプーン大盛り3杯
きな粉 小匙１
コショウ 少々
卵 ４と１/２個
☆赤味噌 125g
マヨネーズ 大さじ２
醤油（パスタ加熱用） 適量
▲砂糖 小さじ１
白ネギ（みじん切） 大さじ１
バケット 適量
卵黄 1個
※　片栗粉 大さじ１
※チリペッパー お好みで
ブラックチョコレート ５０ｇ
◇ オーリブオイル 大さじ2
★顆粒かつおだしの素 小さじ１／２
ブラウンシュガー 大匙3
厚揚げ １枚
生クリーム チョコと同量
カレー粉 大２
大根（ポン酢に入れる用） お好みで
★湯 ３００ｍｌ
☆塩 小さじ1/2
即席☆万能甘酢あん♪（別レシピ参照） 適
水菜（あれば） 適量
にんにくチューブ 少々
★豆板醤　 小さじ１
オリーブオイル 大さじ１/２
塩 少々
D：薄力粉 大さじ1/2
卵黄 ２個
☆ローリエ １枚
のり 適量
バター 100ｇ
★鶏ガラスープの素 分量通り
生クリーム 100ｃｃ
オリーブオイル 大１
塩 少々
ブラックペッパー 少々
　とんかつソース(市販)：ケチャップ 1：1
コンソメ粉・ガーリック粉 小さじ3～４
（お好みで）　オオバかパセリ 少々
●塩、こしょう 各少々
塩・こしょう 少々
（B)生クリーム １００ｃｃ
塩 適量
ブランデー（ラムやキル酒・・もしくはナシでもOKです。） 大さじ０・５～１くらい
オリーブオイル 適量
ほんだし 小さじ１弱
水 50ｃｃ
砂糖 ５０ｇ
ラー油 お好みで
和風だしの素 小さじ１
砂糖 小さじ1
◎ウスター･ソース 大さじ3
○醤油、砂糖 各大さじ１
焼きちくわ 6本
ブラックペッパー 適宜
鶏がら 大さじ１
★水 大匙４
塩コショウ 少々
＊だしのもと   ひとつかみ
かたくりこ 大１
玉ねぎ １/２
☆水 200ｃｃ
甜麺醤 大さじ1と2/1
ミックスベジタブルｏｒコーン 大さじ3
〇スライスアーモンド ２０ｇ
卵 4個
☆みりん 大さじ１弱
サラダ油 少々
いんげん ６本程度
＊フレンチマスタード 大さじ３
●オイスターソース 小１
マッシュルーム缶詰(スライス) 小1缶
はちみつ 10g
水 ６０ｃｃ
小葱の小口切り 適宜
黒ｺﾞﾏ白ｺﾞﾏ 各大さじ２～
●トマトケチャップ 大さじ3
塩 小さじ１
水 みりんと同僚
長ねぎ 1/2本
三つ葉 あれば
★コンソメ 大さじ１
薄口しょうゆ 大１1/2
温玉 1個
☆ごま油 大１
卵 80ｇ
●中華スープ 1/2カップ
塩 少々
●しょうが １片
・酒 50cc
ピーマン ２こ
タケノコ ５本
片栗粉 大さじ2
塩コショウ、コンソメ 適宜
小麦粉 適量
たら 4切れ
しょうが（無くてもＯＫ） 少々
7-11 ケチャップ @148- 大さじ1.5
玉葱 1/2個
塩こしょう 適量
お酒 大２くらい
＊ガラムマサラ 少々
オリーブオイル 適量
❤ごま油 小さじ1/2
ごま油 大さじ1
片栗粉 大１
ドライパセリ 適量
万能ねぎ 好みで
バター 10グラム
ウスターソース 小さじ1/2
しょうゆ 小さじ１
☆マヨネーズ 適量
油 適量
ゴマ油 小さじ1
●醤油 大さじ２
★水 大１
サルサソース 大さじ４
片栗粉 大１強
●水 小さじ２位
Ａ　はちみつ（みりんでも　ＯＫ） 大１
白ワイン 40ml
小麦粉 適量
水 白菜が半分ぐらい隠れる量
あれば…（寒天・おからパウダー） 一つまみずつ
こしょう 少々
ケチャップ(ソース用) 大さじ３
しょうゆ 大さじ２
生クリームB ７０ml
●ごま油 小さじ１杯
白ワイン 大匙2杯
生クリーム ８０ml
★水 大さじ４
酒 適量
サラダ油 大さじ２
酢 大さじ２
ねぎ 5cm
小麦粉 大さじ２ぐらい
ごま油 適量
塩・胡椒 各適量
マヨネーズ 適量
マリービスケット ６０g
塩、こしょう 適量
ネギ(小口切り) 適量
溶き卵（照卵用） 適量
白ワイン 100cc
バター １０ｇ
マリービスケット ６０g
バター 30g
○しょうゆ 大３～４
カツオダシ(２番ダシ) 500cc
○ミックスビーンズ 140g
塩 小さじ1/2
お水 大３～
きび砂糖 大さじ２
みりん 大１
ちくわ １本
(ソース用)白ワイン 半カップ
酒 大さじ１～
岩塩 小さじ0.5
タイム ２～3振り
じゃがいも 2個
＊しょうがのすりおろし 1片
コンソメの素 固形１～２個
水 200cc程度
しょうゆ 大さじ1/2
みりん 36cc
★白ごま 適量
●玉ねぎ（みじん切り） 1/4個
りんご 中２個
☆薄力粉 適量
アーモンドクリーム（柔らかくしておきます） １２０ｇ
豆板醤 小さじ1
酒 大さじ1
卵 １つ
ベーキングパウダー（BP) 小さじ1/4
甘納豆、餡、松の実などなど 適量
卵黄＋牛乳 合わせて170cc
バルサミコ酢 小さじ１
★白ワイン 小さじ1
★ミックススパイス(シナモン等) 小さじ1
■あればすりおろしにんにく １かけ分ぐらい
青のり 適量（好みで）
ごま油　（炒め用） 適当
バター 30g
さつまいも 小１個
パセリ 少々
にんにく 1片
豆板醤 大さじ1.5
塩、ブラックペッパー 適宜
醤油 少々
☆塩 小1
塩 ひとつまみ
塩胡椒 少々
卵 2個
みりん 大匙3
i.   コンソメ おおさじ1
ラム酒 小さじ１
テンメンジャン 小匙１
砂糖 ６０ｇ
