うどん(ゆで) 2玉
●ほんだし 少々
ニンニク １片
片栗粉 大さじ2
油 少々
カレー粉 小さじ１
にんにく １片
＊白炒り胡麻 大さじ1
干しプルーン（好きなドライフルーツでOK） 5個（50gくらい）
粉糖 100g
胡麻 小さじ１
（お好みで）大根おろし 適量
鷹の爪(輪切り) １～２本分
●しょうゆ 大さじ1/2
お米 ４合
はちみつ(ジャムや砂糖でも) 10ｇ
マヨネーズ 適量
②グラニュー糖 6０ｇ
粉砂糖 適量
とけるチーズ １枚
★サラダオイル 大1
緑野菜（ブロッコリーなど） 半分か１個
生姜 スライス1枚
ダシダ 大さじ1/2
水 100ｃｃ
ｸｯｷｰ（ﾑｰﾝﾗｲﾄ使用しましたが、お好みで） 24枚
☆オイスターソース 小さじ2
にんにく（みじん切り） 6g
プレーンヨーグルト 100ｇ
すり胡麻 小さじ２
ごま油 １かけ
砂糖 ４０グラム
片栗 大さじ１
∟サラダ油 小さじ１
刻みのり 少々
ごはん 140g（軽めに1膳）
青紫蘇 ６枚
ベーキングパウダー 3ｇ
干し海老 大さじ１
☆しょうがのすりおろし すりおろしをひとつまみくらい
味ぽん 大さじ2
◎コンソメ、粒マスタード、レモン果汁 各小1
林檎ジュース　　● ４０ｃｃ
醤油 大さじ4
水 １００cc
☆お好きな味付けアレンジ↓↓↓ どれか１種類をチョイス☆
野菜(お好み) 適量
BP 小1
クレイジーソルト ３～４振り。　量は、お好みで！
塩 3g
砂糖 大さじ３
一味唐辛子 小さじ1/3～1/2
小麦粉 大さじ2杯
しょうゆ 大さじ1
オリーブ油 少々
白ごま 少々（お好みで）
砂糖 大さじ１くらい
一味唐辛子(お好みで) 少々
寿司酢 表示してる分量
豆板醤 小匙１/２
鶏もも肉 ２/１枚
水 600
カスタードクリーム 150ｇ
砂糖 １０ｇ
醤油 小さじ1
しょうゆ 大さじ１
インスタントドライイースト ３ｇ
こしょう 少々
こしょう 少々
無塩バター ３０ｇ
蜂蜜 大さじ２
★スキムミルク 20g
●水 １５０ｃｃ
はちみつ １０ｇ
みりん 少々
きのこ（マッシュルームをスライス） ４個
生クリーム 80ｃｃ
塩コショウ 適量
バター 20ｇ
人参 ５㎝分
醤油 少々
小葱 少々
オイスターソース 大さじ１
☆砂糖 大3
☆砂糖 小1
白ワイン ２００ｃｃ
卵 2個
イシイのおべんとクン・ミートボール 1袋
人参 60ｇ　　（2ｃｍの薄切り）
みりん 大さじ2
ウスターソース 大さじ1
薄力粉 170g
A酢大豆の漬け汁 小さじ2
市販の板チョコ(製菓用なら更に◎) 120グラム
すった生姜 小さじ1
牛乳 ６０ｃｃ
塩 小１/2
ドライパセリ 少々
板ﾁｮｺ 1枚
ココナツミルク １缶（４１４ｍｌ）
ちくわ 1本～2本(お好みの分量)
★砂糖 小さじ1
レモン汁 少々
（野菜スープ） 適量
☆牛乳☆ １００ｃｃ
水溶き片栗粉 片栗粉大さじ１と水30ml
ブラックペッパー 適量
ヌチマース(石垣の塩） 少々
☆大根おろし☆ お好みで
パセリ 少々
砂糖 30ｇ
ガラムマサラ 小さじ1/6 (２～３振り)
揚げ油 適量
★ナツメグ ５～６フリ
◎生クリーム（植物性低脂肪） １００ｃｃ
サラダ油 大さじ1
ウスターソース 大さじ2
水 ジャガイモが浸るくらいの量
卵 ３個
お醤油 大3
★刻みネギ たっぷり
酒 大さじ１
ハーブソルト 小匙1/2
塩コショウ 少々
砂糖 小さじ1
◎だし汁 600㏄
人参 中1.5本
ピーマン 1個（千切り）
黒胡椒(お好みで) 適量
塩 適量
粗引き胡椒 少々
塩 適量
砂糖 １５g
パン粉 適量
鶏もも肉 １枚
塩 少々
BP(ベーキングパウダー) 小さじ１
★粉末の生姜湯がなければ生生姜搾り汁★ ティースプン約１杯弱
油 多めに
刺身(お好みの魚) お好きなだけ
牛乳 200ml
ブラックペッパー 適量
◆薄口しょうゆ 大さじ１ １/２
☆長ネギ 10cm
バター 15ｇ(大さじ1)
塩 少々
生姜おろし 大１
※しょう油 大１
アボカドオイル 少々
＊玉ねぎみじん切り 1/2個分
塩、コショウ 少々
★しょうゆ おおさじ１
パセリ 適量
★ダシダ（普通のだしの素でもOK） 少々
アーモンドプードル ３５g
砂糖 ２０ｇ
☆塩 小さじ1/2
塩 ひとつまみ
バター １５ｇ
酒 適宜
中華だし 適宜
牛乳 100cc
ポン酢 適量
チョコチップ 好きなだけ♪
もやし、チンゲンサイなど お好みで
●酒 大さじ２
梅 2～3個　お好きなだけ
塩 8ｇ　　　　　　　2ｇ
おから １４０ｇ
砂糖 １６０ｇ
砂糖 大さじ1
ベーキングパウダー 小さじ１
オリーブオイル 大さじ1
バニラエッセンス 少々
シイタケ（好みのきのこ）かマッシュルーム シイタケなら4つ　マッシュなら8個
☆水 １/２カップ
ネギ 20cm
ベーキングパウダー 小さじ1
ケチャップ 少々
出汁 適量
板こんにゃく 4分の1枚(あれば)
白ワイン ５０ｇ
☆ナンプラー 小2
塩コショウ 少々
塩・こしょう 適量
白ごま 小さじ1/4
しょうゆ 大さじ1
シナモンパウダー 少々
生姜すりおろし 小さじ１
★米酢 大2
片栗粉 適量
BP 小1
にんにく 1かけ
とろけるチーズ 1枚
塩、コショウ 適量
大根おろし、しょうが、てんつゆ、醤油、ケチャップ、チリソースなど お好みで
みりん 大さじ１
シーフードミックス（解凍しなくてOK） 好きなだけ
塩・胡椒 少々
水 大1と1/2
塩・こしょう 適量
塩、こしょう 各少々
じゃがいも ２個
しょう油 小1
抹茶 大さじ1～（お好みで）
パン粉 大さじ４
酢 ひとたらし
しょうゆ、酒、みりん 各大２くらい
塩 小さじ半分
カレー粉パウダー 大さじ１～２（お好みで調節）
バター 30g
赤唐辛子 １本(半分にして種を取る)
オリーブオイル 少量
ほうれん草（下茹で済み） 1束分
鶏がらスープの素 大さじ１弱
パプリカ 少々
三温糖 75ｇ
塩・コショウ 少々
オリーブオイル 大さじ1
▲BP 小匙1
○サラダ油 大さじ１
砂糖 小さじ2分の1
マヨネーズ お好み量で大３
▲マヨネーズ 小さじ１
顆粒コンソメ 小さじ１/２
にんじん 1/3本
めんつゆ 大さじ２～３
★味りん 小２
レモン汁 2/1個分
牛乳 200cc
チョコペン(湯せんする) 1本
にんにく １ヶ
シナモン 多め
しょう油 100ml
すり生姜 大匙１
水 小２
塩・こしょう 適宜
マッシュルーム 2個
鶏肉（豚でも牛でもOK） ２００ｇ
水 45ｃｃ
とろけるスライスチーズ ２枚
豆板醤・コチュジャン お好みで
だし汁 50cc
小麦粉 適量
＊卵 1個
オリーブオイル 適量
みりん 大さじ２
★みりん 大さじ３
お湯 適量
ほうれん草 1株
プレーンヨーグルト 80g
大根おろし ひとつかみ
たまねぎ 1/4個
砂糖 大さじ半分
水 50cc～60cc
酒 ５０㏄
酒 小さじ１
好みであれば温泉卵 1こ（予算に応じて増やす）
バナナ 1本
中濃ソース 大さじ３
レモン汁 大1
黄な粉 大さじ１〜２
サラダ油 適量
ネギ 好きなだけ
大根おろし 3分の1程
ミニトマト ７個
◎しょうが（みじん切り） １かけ
和風だしの素 少々
万能葱 適量
ニンニク（包丁などで、つぶしておく） １かけ
レモン汁 ２０ｇ
●白すりごま 小さじ２
コンソメの素　 1個
鷹の爪 1本
ホウレンソウ ２束程度〜好みで加減
しいたけ 1枚
ガラスープの素 大さじ1/2
白ゴマ 大さじ１
冷凍手作り粒餡(レシピID：746544) 300g(30g×10個)
天かす 少々
オリーブオイル（ごま油も可） 小さじ１
●エノキ １/３束
水 150cc
カニカマ ９本
コーン缶 1/2缶
胡麻 適宜
ココナツミルク缶詰 1缶
醤油 大さじ２
コンソメ ２個
ﾋﾟｰﾏﾝ 2個
水 5００ｃｃ
ローリエ（または粉末ローリエ） 1枚（粉末の場合小さじ1）
⑥ニンニク（チューブでも） 小さじ1〜2
しいたけ 4枚
バターまたはマーガリン 大さじ1
だし汁 3cup
ホイップ 200cc
鷹の爪 1/2本
お酒 少々
バルサミコ酢 小匙2分の１
固形ブイヨン 1個
※赤みそ 大さじ1
大葉 2枚
辛子 適量
ひじき 3ｇ
醤油 小匙１
卵 ３個
ねぎ小口切り（あれば） 適宜
卵白 3個分
無塩バター 10g
料理酒 小匙１
カツオ節（少量パック） ６ｇ（３ｇを２袋）
レモン汁 少々
◆水 150cc
○牛乳 少々
板チョコ 1枚
ゴマドレッシング 適量
↑なければキッチンペーパーとざるでも OKです！
シイイウカウ（日本の醤油でも可） 大さじ1
ドライイースト 3g
☆パルメザンチーズ（粉チーズ） ６０グラム
○醤油 小さじ１
はちみつ 大さじ1
醤油 適量
バニラエッセンス 少々
酒                大2
砂糖 小さじ1
○ごま油・酒 各大さじ１
小麦粉 適量
長ネギ １本
豆乳 200cc
◎和風だしの素 小さじ1
粉寒天 小さじ３分の２
白ワイン １/４カップ
だし汁 ３ｃｕｐ
しょうが 1/4個程度
塩・コショウ 適量
マヨネーズ 適量
ごま油 少々
キクラゲ戻したもの 4０ｇ
きび砂糖 大さじ2
★おろししょうが（チューブ） １かけ分（４㎝ぐらい）
醤油 大さじ１／２くらい
抹茶パウダー 10g
ショウガ  ひとかけ
ベーキングパウダー(以下ＢＰ) 大匙1/2
スライスチーズ 3枚
　・缶のスイートコーン 片手に乗るくらいの量♪
醤油 小さじ２～３
牛乳 650ｃｃ
レモン果汁 大さじ１
鶏ガラスープの素 少々
生クリーム １００ｍｌ
マヨネーズ 適量
ベーキングパウダー 小さじ１
コンソメキューブ 1個
☆水 小さじ1
＊豆板醤 小1～2
＊塩 適量
　　　　　☆長ネギ 細め半分位
生姜 大1
☆ショウガ（チューブタイプの） 長さ2cmくらい
いりゴマ 適量
片栗粉 豆腐用　　少々
片栗粉 大さじ３
片栗粉 適量
とりがらスープのもと 小さじ１
化学調味料 少々
★酢 大さじ3
☆砂糖 小1
塩こしょう 適量
パルメザンチーズ 適量
ベーキングパウダー（ノンアルミ） ３g
オリーブオイル 適量
マヨネーズ お好みの量
しょうゆ 適量
★塩 適量
青ねぎ 適宜
うまみ調味料 少々
一味唐辛子 少々
ベーコン １～２枚
★みりん 大匙２
★　ダシの素 小さじ１
●ｺﾞﾏ 適量
ポン酢 適量
片栗粉 適量
マヨネーズ 小さじ1程度×人数分
サラダ油 大さじ1
溶き卵 1個分
白炒り胡麻 適宜
醤油 少々
羊羹 お好みで
スライスチーズ（ピザ用チーズ） 1枚（適量）
サラダ油 少々
重曹 ふたつまみ
○砂糖 大さじ１
A薄力粉 150g
唐辛子 1本
★パン粉 １５０ｇ
✿醤油 小さじ１
万能ネギ(あれば) 適量
○牛乳 １０ｃｃ
●おろしにんにく 少々
黒ゴマ 大さじ１
油 １００ｃｃ
ベーキングパウダー 小さじ1
黒胡麻 大さじ２
・しょうゆ 大４
オレオか市販クッキー １５～２０枚
酒（ゆで用） 大さじ２程度
牛乳 ４０ｃｃ
だし汁 １・1/2カップ
塩 味を見つつ少々
★ｻﾗﾀﾞ油 少々
ヨーグルト 大さじ１
○いちご 8粒
さつまいも 1個
Aピーマン ４ケ
ベビーコーン 小一袋
味噌 小さじ２
●水 ４０ｃｃ
塩コショウ 少々
☆コンソメパウダー 小さじ１
薄力粉 70ｇ　　　（40ｇ）
　●針生姜 少々
オリーブ油 大さじ２
にんにく １片
マヨネーズ たっぷり
塩 少々
固形コンソメ 2個
レモン汁 小さじ1/2～１
栗の甘露煮（無くてもOK） １瓶
トマトの缶詰 半分弱
●マヨネーズ１/２ 大３
バター １０ｇ
にんにく（チューブ） ２㎝
薬味ねぎ 適当
マカロニ お好みで
酒 大１
しょうゆ 大さじ３
塩 少々
ケチャップ 大さじ３
☆バター ３０グラム
生ハム 1パック
肉汁 あるだけ
玉ねぎ 2分の１
つぶ胡椒 ６つぶくらい
めんつゆ（３倍濃縮）１：４の濃さで 適量
マヨネーズ 適量
長ネギ 1/2本
ほんだし 小さじ１
☆こしょう 少々
かつおパック １袋
サラダ油 40ｇ
オリーブオイル 適量
天ぷら粉（小麦粉可） 大さじ２～
お湯 適当に
★みりん 大さじ２
すった生姜 小さじ2
★水 ２００ｍｌ
すった生姜 小さじ1
オレンジピール（粗みじん切り） 50g
刻んだ豚小間肉 100g
しいたけ 2本
すった生姜 小さじ1
水 230ｇ
水 大匙１±α
ガーリックオイル 大さじ１
ごま 少々
ブラックペッパー 少々
☆生クリーム（なければ牛乳や豆乳） 100cc
サラダ油 ５０ｍｌ
とりひき肉 (梨の肉じゃが用)
コンソメ 小さじ１
長ネギ １本
★水 大4
塩 ４ｇ
BP 小さじ１
◇鶏ガラスープ ‥大１
ベーキングパウダー 小匙１
しょう油 小さじ１
＊　ナツメグ　（入れなくても可） 適量
☆片栗粉 おおさじ２
長ネギ １本
バター １０ｇ
しょうゆ 小さじ１／２
卵黄 ２個
塩コショウ 適量
塩 少々
☆レモン汁 大さじ２杯弱
たらこ（明太子でもOK） 大さじ1　1/2
麩 小3個位
(A)塩 ２ｇ
塩 適量
白ワインビネガー 大さじ１
干し海老 大匙１
○ナンプラー(ない場合は醤油＋小さじ１) 小さじ１
シナモン 少々
だし醤油 少々
オリーブオイル 適量
塩 少々
★酒 大１
塩 適量
○味噌 ５０g
オリーブオイル 適量
胡麻 適量
ガーリックパウダー 少々
水 5カップ
★砂糖 大さじ1/2
13≪コーンマヨパン≫ ｺｰﾝ缶　大さじ３
椎茸 ３〜４個
✿こんぶダシ 小さじ2
うどんスープ(ヒガシマル使用) ２袋
ケチャップ ５０ｍｌ
☆酢 大1
だし汁 ９００cc
マヨネーズ お好みの量で
ニラ 3分の1本
double cream ４００ml
★蜂蜜 ２５ｇ
酢 大さじ2
白ゴマ 大さじ１
塩 小さじ１　１/２
たまねぎ　みじん切り 中半分　（残りの半分は↓の具で使います）
☆白ゴマ 大さじ2
塩 少々
卵 １個
ねぎ ３本
玉ねぎの皮 １こ分
粗びき黒コショウ 適量
ブラックチョコ 20g
チョコスプレーなどの飾り 適量
☆塩 小1
塩こしょう 少々
ヨーグルト ３５ｇ
A：卵（ゆで卵にしておく） ４つ
しょうゆ 大さじ2
●みりん 大さじ２
レタス ２～３枚
食パン ６枚切り２枚
砂糖 １００～１５０ｇ（お好みで加減）
◎ピザ用ミックスチーズ １５０ｇ
大葉 ６～８枚
〇砂糖 小　1
☆ナンプラー☆ 小さじ２
常温のフィラデルフィアクリームチーズ 1/2箱
玉ねぎ 小１個
○みりん 大さじ１
にんにく １かけ
☆みりん 大さじ２
水 400cc
醤油 大さじ１
ドライイースト ３ｇ
●粉ゼラチン 5ｇ
レモン汁（市販品可）フレッシュレモンなら１個分 ２５ｇ
しょうゆ 大さじ１/２
すりごま 大１~２
★塩 小さじ１
☆砂糖 大２
塩コショウ 適量
スプラウト、貝割れ等 少々
ウスターソース 大2.5
植物油 大匙2
にんじん １/２本
◎酢（米酢使用） 大匙１
昆布 １枚
ゴマ油、ゴマ 各小さじ１
ウインナー（３cmのミニサイズ） ２０個
パン粉 ２カップ
★レモン汁 大さじ1
塩（つくね分） 小匙１
卵 4個
白ゴマ 大さじ１
ベーキングパウダー 小匙１
醤油 大２
ローリエ １枚
バター 100ｇ
酒 大さじ1/2
ベーキングパウダー 小匙１／２
すりごま 少々
ごま油 少々
サラダ油 小さじ１
片栗粉（水溶きにする） 小さじ２
粉チーズ・塩・こしょう 適量
★生姜（チューブ） ２ｃｍくらい
マーガリン 適宜
黒ゴマ お好みで
バジルペースト 小さじ１
ベーキングパウダー 小さじ１
砂糖 大さじ1
生ホタテ ２ｹ
冷凍パールオニオン 適量
★白だし 大さじ１．５
卵（黄味のみ） 1個
菜種油 少し
仕上げ用粉糖 適量
塩胡椒 味見
青じそドレッシング 適量
●みそ 小さじ１
塩・コショウ 少々
練乳 大1/3
★しょうゆ 大さじ１/２
牛肉風味のだし 小さじ1
コンソメキューブ 大１個、または顆粒小さじ２
もやし ５０ｇ
オリーブ油 少々
イースト １０g
茹玉子用の水 適宜(たっぷり)
A醤油 大さじ１～２
砂糖 大２
コンソメ 1個
※めんつゆ 大さじ1
＊オリーブオイル 大さじ１～２（油分を気になさる方は少なめに）
ソーセージ 適量
※和風だし顆粒 小さじ1/2
牛乳 100cc
デコレーション用生クリーム 適当
塩 ひとつまみ
水 100ｃｃ
ニンニクみじん切り 1かけ
卵 Ｍ２個
塩 少々
●ケチャップ 大4強
ベーキングパウダー 小さじ１/４
★マーガリン 小さじ1
天津甘栗 10～15粒
＊砂糖 大さじ1
ストロベリーチョコレート 20g
青ネギ（お好みで） 適量
サニーレタスや水菜 適量
水 めんつゆより少し多め
青海苔 大1
砂糖 少々（小さじ１／４～１／３位）
☆ラム酒 大さじ１
牛乳 230ｇ
ﾊﾞﾆﾗｴｯｾﾝｽ 適量
★えのき茸 １／２　束
＊牛乳 大さじ2～3
ﾊﾞﾀｰ 15㌘
塩 小さじ１
★コンソメ 小さじ１
白ごま 少々
サラダ油 大さじ2
☆いりごま 適量（大さじ１〜２）
卵黄 4個分
塩コショウ 適量
◎片栗粉 小さじ２
花かつお 適宜
塩コショウ 適量
☆塩 1つまみ
にんにく 1かけ
ベーコン ２枚
お好きなフルーツ 適量
水 １カップ
ベーキングパウダー 小さじ１/４
★薄力粉 100g
カイエン 小さじ1
バニラエッセンス(なくても） １～２滴
★砂糖 小さじ1
ケーキ用マーガリン(バター) 100g
ヨーグルト ５０ｃｃ
●白ねぎみじん切り 半分～1本
コンソメ 小さじ２
えのき（しいたけ） １/2袋
塩・黒コショウ 少々
醤油 大さじ３杯
サラダ油 30g
水 50cc～60cc
☆スキムミルク 6g
長ネギ １／２本
チョコチップ 適量
水溶き片栗粉 大匙２に水大匙３
ラー油 大さじ1
天然塩 HB添付小さじ1/4位
砂糖(コクがでるよ) ほんのひとつまみ
水 50cc～60cc
･お酒 50cc位
・薄力粉 160g
★すりおろし生姜 1片分
ブラックペッパー 適宜
ホットケーキミックス 150g
バジルシード（なければ黒ゴマ） 小さじ２ぐらい
お醤油 少々
バター（できれば無塩） １０ｇ
★砂糖 小さじ２
*マヨネーズ 大さじ4
エノキダケ 1/2パック
水 200ml
卵（M） 2個
●ベーキングパウダー 小さじ1/2
バター 20g
●みりん 大さじ1/2
★塩胡椒 少々
卵 1個
生クリーム ６０ｍｌ
サラダ油 適量
油・ごま油 各大さじ１
抹茶 5g
出し汁 100ｃｃ
★鶏ガラスープの素 小さじ１
型用バター 適宜
料理酒 大１
ポン酢　● 大匙３
□ごま油 一滴
かけてみそつけてみそ 大１
溶かしチョコ 適量
お好きな野菜（里芋、蓮根、南瓜、アスパラなど） 好きなだけ
★みりん・砂糖 〃
マーガリン 大さじ２
●ｵﾚﾝｼﾞ系の洋酒 大さじ1
片栗粉 大さじ4強
ガーリックパウダー 多め
バター 大さじ４
●水 350㏄
青海苔 適宜
塩 ４ｇ
牛乳 カップ1
□塩 大さじ1x3
ピンクラディシュ 3個
卵黄 ２個分
昆布 タンを包める長さのもの
塩 小さじ1/2
蜂蜜 小1/2
★砂糖 大１
みりん 大さじ１
★お好みのドレッシング 大１～２（〃）
○米粉 90ｇ
薄力粉 １００ｇ
塩 小さじ1/2
バター ３０ｇ
砂糖 少量
ごぼう 1/2本
塩 少々
塩コショウ 少々
サルサソース 少々
醤油 隠し味程度に
トマトケチャップ 大さじ３
にんにく １カケ
オリーブオイル 大さじ３
ブランデー 5cc
ごま油 少々
バター（マーガリン） １０ｇ
卵 １こ
たまねぎ １個
砂糖 小さじ1/2
オリーブオイル 40cc
塩 小さじ１
砂糖 小さじ１
みりん 大さじ5
★バター 小さじ1
塩 小さじ１弱
アーモンドパウダー 100g
人参 1本
○タピオカ粉(無ければすべて薄力粉で) 20ｇ
ほうれん草 1束
マヨネーズ 適量
ピザ用チーズ 適量
本みりん 80cc
お好きな焼肉のタレ（エバラ黄金の味　中辛） １５０g（小さい瓶で２/３ぐらい）
醤油：酒：みりん：砂糖 2：2：2：1
きざみあげ ひとつかみ
醤油 大さじ1
もやし（あれば） お好きなだけ
コンソメ 小さじ２
たまねぎ（みじん切り・・・荒めに） 半分
顆粒だし 小さじ1
生クリーム ２分の１カップ（１００ＣＣ）
★パン粉 大２
☆キムチ（汁も入れます） ５０～８０ｇくらい（お好みで）
だし昆布 3センチ
☆しょうゆ 小さじ1/2（お好みで）
●みりん  大さじ１と1/2
ごま油 大さじ１
(シナモン) 小2
塩こしょう 少々
粉砂糖 ３０ｇ
サラダ油 大さじ1
ブラックペッパー 少量
カレー粉 大２
ベーキングパウダー ５㌘
無塩バター ２０ｇ
アップルソース 1カップ
☆卵 2コ
ラー油 お好み
酒 適量
ごはん 2杯分
クルミ 40g
コンソメ（キューブ） 1個
★ディジョンマスタード 大匙１杯
胡椒（あれば黒胡椒） 適量
塩、コショウ 少量
★みりん 大さじ1
バター（マーガリン） 適量
☆すりおろし生姜 1かけ分
カレーパウダー（※） 大1
ニンニク粉タイプ 少々
顆粒だしの素 小さじ1
ブラックペッパー 多め
●砂糖 小１弱
ベーキングパウダー 小さじ１
クローブ（ホール） 6粒
ガーッリックパウダー（無くてもok) 適量
酢 大さじ２
コンソメ ２個
牛乳 適量
塩･こしょう 少々
ローリエ 1枚
片栗粉、水 各小さじ２
胡椒 適量
片栗粉（まぶす用）、揚げ油 適宜
パン粉 ２分の１カップ
塩、コショウ 少々（市販の味しおコショウが便利）
ゴマ油 小匙2
○ベーキングパウダー 5ｇ
☆小麦粉 160グラム
★しょうが 大さじ1
牛乳 卵、生クリームと合わせて２４０ｇにする
めんつゆ（3倍希釈） 大さじ1
チューブにんにく 少々
牛乳 160ｇ
しめじ 50g
りんご（あれば紅玉） 3個
人参（千切り） ２０ｇ
豆乳(有機栽培のものが望ましい) 100ml
♡胡麻油 小さじ１杯
水 ２５０ml
●オイスターソース 大さじ１
牛乳 １５０ｃｃ
しょうが（すりおろし） 小さじ１
鶏もも肉 1枚
ウェイパーもしくは鶏ガラスープの素 大さじ１
人参 少々
●醤油 ５０cc
★醤油 大さじ１
しょうが １片
特選 丸大豆しょうゆ 小さじ1
　　砂糖 大さじ1
塩　コショウ 少々
ベーキングパウダー 小さじ１
人参 2分の1本
冷凍グリーンピース 大2
揚げ油 適量
シメジ 1パック(100g)
ココアパウダー 20g(55Kcal)
ごま油 小さじ２
オリゴ糖 小さじ１～２
●ゆず茶 小さじ１
塩 少々
水または牛乳 180ml
ココアパウダー 大さじ２
♥ベーキングパウダー 小1/3
●酢 １００ｃｃ
マヨネーズ お好みで
○牛乳 １５０ｃｃ
牛乳 150ml
＊　塩 小さじ１／３
塩 適量
醤油 6ｇ
ヨーグルト 70g
酒粕 大さじ１
バター １５ｇ
砂糖 大1/2～1
☆酒、味噌 各大さじ1
製菓用ラム酒（ブランデーでも） 大さじ２分の１
とうもろこし 適量
白ごま 好きなだけ
片栗粉 適量
おろしにんにく(チューブ) 1cm
粒マスタード 小さじ1／2～1
醤油 小さじ2
オイスターソース 大さじ1
長ネギ １／２本
塩・ブラックペッパー 適量
中濃ウスターソース 大さじ１
水 適宜
塩コショウ 適量
チーズ その日の気分で
パセリ 少々
バルサミコ酢 大さじ１
塩コショウ 適宜
☆ナツメグ 4～5ふり
湯(パスタボイル用） 1ℓ
　バター 適量
マヨネーズ・七味 お好みで
はちみつ １５０ｇ
かつお節 1パック
塩コショウ 適量
★水 200cc
榎茸 80g
卵 4こ
・A　  ポン酢 大2
きび砂糖 大さじ2
砂糖 １００ｇ
塩胡椒 少々
油 適量
ごま 大1.5
パン粉 適量
☆お湯 １００ｃｃ
ダシパック 適量
牛乳 200ml
ごま 適当
酒 大さじ２
片栗粉 少々
ケチャップ 大さじ５
唐辛子 適量
メープルシロップ（はちみつでも） 適量
酒 大さじ1
アーモンドプードル ８０ｇ
オリーブオイル 小さじ1～1半
塩 適量
＊鶏がらスープの素 小1/2
ごはん ２杯分
粉糖 少々
にんにく １かけ
溶き卵 1/2個分
ゆず 適量(粉でもＯＫ)
湯 70cc
♥砂糖 大さじ２
☆クレイジーソルト お好みで
ハマグリ 6粒以上
おろし生姜（チューブでも可） １かけ分
だいだい 1個
ベーキングパウダー ５ｇ
★ベーキングソーダ（重曹） 小さじ1/2
アーモンドプードル 50ｇ
バニラ(ビーンズまたはエッセンス) 少々
チョコレート 板チョコ3枚分（約150g）
砂糖 45ｇ
コンソメ １個（小さめなら１．５～2個）
ブラックオリーブ 好みの量
アボカド 1個
油揚げ 一枚
卵 1個
卵黄 Ｌ１個
韓国海苔（一口大にちぎる） １枚
○ベーキングパウダー 小さじ１
白ワイン ３００㏄
☆酒 適量
＊砂糖 小さじ１
☆みりん 大さじ１
塩、コショウ 少々
薄力粉 100g
塩、コショウ 少々
酒 大さじ１
○水 適量
しらたき 1袋
ウィンナー（あれば） １本
レモン汁 1/2個
♡塩胡椒 適量
胡麻油 適量
薄力粉 １７０ｇ
●塩コショウ 適量
★塩・こしょう 少々
☆かつおぶし １パック（５ｇ）
薄力粉 大さじ３
ブラウンシュガー ４０ｇ（２０ｇ）
パセリ 少々
パプリカ ３g
*オリーブオイル 大さじ2
小エビ（冷凍、調理済みのもの） １０匹
卵 1個
ショートニング １２０グラム
水 550㏄〜
お酒 少々
★酒  大1
ハム 1枚
ホールコーン 適宜
牛乳 大さじ１
＊マーガリン（バター） 大さじ1
ちくわ １本
サラダ油 大さじ１
白だし、水、水溶き片栗粉 各適宜
塩 少々
★みりん 小1
濃口しょうゆ 25cc
トマト 少々
にんにく 1片
片栗粉 小さじ１
片栗粉・揚げ油 適量で
七味とうがらし 適量
バター 大さじ1
※パン粉 1/4カップ
A＞ベーキングパウダー 小さじ２
◇ 塩・こしょう 少々
水（ゼラチンふやかし用） 大さじ２
★ポン酢 大さじ３
全卵 一個
●片栗粉 小さじ1/2
醤油 大さじ３
ベーキングパウダー 小さじ2
●さとう 大２
酒 大さじ1
サラダ油 大匙１
サラダ油 小さじ２
☆水 1カップ
みそ（おすすめは赤みそ） 大さじ１と1/2
めんつゆ（3倍濃縮） 大さじ1
薄力粉 適
　　玉ねぎ 1玉
だししょうゆ 大さじ２．５
あればチーズ １枚
牛乳 １００ｃｃ
かつお節 小1パック（１０ｇ）
水 追加＋６００ｃｃ～９００ｃｃずつ
★ｳｴｲﾊﾟｰまたは粉末鶏がらｽｰﾌﾟ 小さじ１
薄力粉 大匙2
じゃがいも １～２個
めんつゆ 適量
しょうゆ 大さじ１
塩、黒こしょう 適量
カレーパウダー 小さじ１
　     お湯 大さじ１強
サワークリーム ３０ｇ
☆カゴメ基本のトマトソース １缶
ヨーグルト（無糖） 大さじ５～７　様子をみながら
塩 適量
ピザチーズ 200ｇ
マヨネーズ 適量
ゴマ油 小さじ１
ネギ 好み
赤ワイン【普通の3/2と赤玉3/1】 100ｃｃ
塩 ひとつかみ
※黒ビール（レシピではギネス使用） 350ｍｌ
トマト缶 １缶
刻みのり 少々
サラダ油 大さじ2
ニンニク 少々
牛乳 大さじ１、小さじ３
卵 1個
食紅（青） 少々
豚肉 100ｇ
塩 適当
しょうゆ 大さじ１
◎砂糖 大さじ1
白だし 〃
ウィンナー ２本
バター ６０ｇ
めんつゆ お好みで
水 ５０ｃｃ
☆にんにく １かけ
レモンピール ５０ｇ
砂糖 大さじ２・５
塩 少々
★酒 大さじ１
4倍濃縮めんつゆ 100ml
卵黄 それぞれ１個
南瓜 ８０ｇ
３倍麺つゆ １２０～１３０ｃｃ
玉子 2個
青海苔 2摘み位
粒コショウ等（お好みで） 少々
塩・こしょう 適量
ラム酒 大さじ１（お好みで）
お湯 80ｃｃ
ウェイパー 小さじ１／２
固形ブイヨン １個
醤油 小さじ2
パン粉 適量
和風だしのもと ひとつまみ
人参 １／２本
●卵 Ｍ１個
酢 大さじ1
塩コショウ 少々
水 180ｃｃ
バター 適量
醤油 大さじ２
アーモンド（おつまみ用の） ２４個
